PS,[M+Na]+,M+Na-87.03203,M+Na-97.9769 (H3PO4),M+Na-185.00892,M+Na-C3H7NO6PNa,NL_87_T1_RCOOH,NL_87_T2_RCOOH,Phosphoserine+Na
PS(14:0_22:0)+Na,814.5568249,727.5247949,716.5799249,531.5710049,607.5659549,499.3158649,387.1906649,207.99872
PS(14:0_22:1)+Na,812.5412249,725.5091949,714.5643249,529.5554049,605.5503549,497.3002649,387.1906649,207.99872
PS(14:0_22:2)+Na,810.5255249,723.4934949,712.5486249,527.5397049,603.5346549,495.2845649,387.1906649,207.99872
PS(14:0_22:3)+Na,808.5099249,721.4778949,710.5330249,525.5241049,601.5190549,493.2689649,387.1906649,207.99872
PS(14:0_22:4)+Na,806.4942249,719.4621949,708.5173249,523.5084049,599.5033549,491.2532649,387.1906649,207.99872
PS(14:0_22:5)+Na,804.4786249,717.4465949,706.5017249,521.4928049,597.4877549,489.2376649,387.1906649,207.99872
PS(14:0_22:6)+Na,802.4629249,715.4308949,704.4860249,519.4771049,595.4720549,487.2219649,387.1906649,207.99872
PS(14:0_23:0)+Na,828.5725249,741.5404949,730.5956249,545.5867049,621.5816549,513.3315649,387.1906649,207.99872
PS(14:0_24:0)+Na,842.5881249,755.5560949,744.6112249,559.6023049,635.5972549,527.3471649,387.1906649,207.99872
PS(14:0_24:1)+Na,840.5725249,753.5404949,742.5956249,557.5867049,633.5816549,525.3315649,387.1906649,207.99872
PS(14:0_25:0)+Na,856.6038249,769.5717949,758.6269249,573.6180049,649.6129549,541.3628649,387.1906649,207.99872
PS(14:0_26:0)+Na,870.6194249,783.5873949,772.6425249,587.6336049,663.6285549,555.3784649,387.1906649,207.99872
PS(14:1_14:1)+Na,698.4004249,611.3683949,600.4235249,415.4146049,491.4095549,385.1750649,385.1750649,207.99872
PS(14:1_15:0)+Na,714.4317249,627.3996949,616.4548249,431.4459049,507.4408549,401.2063649,385.1750649,207.99872
PS(14:1_15:1)+Na,712.4160249,625.3839949,614.4391249,429.4302049,505.4251549,399.1906649,385.1750649,207.99872
PS(14:1_16:0)+Na,728.4473249,641.4152949,630.4704249,445.4615049,521.4564549,415.2219649,385.1750649,207.99872
PS(14:1_16:1)+Na,726.4317249,639.3996949,628.4548249,443.4459049,519.4408549,413.2063649,385.1750649,207.99872
PS(14:1_17:0)+Na,742.4630249,655.4309949,644.4861249,459.4772049,535.4721549,429.2376649,385.1750649,207.99872
PS(14:1_17:1)+Na,740.4473249,653.4152949,642.4704249,457.4615049,533.4564549,427.2219649,385.1750649,207.99872
PS(14:1_17:2)+Na,738.4317249,651.3996949,640.4548249,455.4459049,531.4408549,425.2063649,385.1750649,207.99872
PS(14:1_18:0)+Na,756.4786249,669.4465949,658.5017249,473.4928049,549.4877549,443.2532649,385.1750649,207.99872
PS(14:1_18:1)+Na,754.4630249,667.4309949,656.4861249,471.4772049,547.4721549,441.2376649,385.1750649,207.99872
PS(14:1_18:2)+Na,752.4473249,665.4152949,654.4704249,469.4615049,545.4564549,439.2219649,385.1750649,207.99872
PS(14:1_18:3)+Na,750.4317249,663.3996949,652.4548249,467.4459049,543.4408549,437.2063649,385.1750649,207.99872
PS(14:1_18:4)+Na,748.4160249,661.3839949,650.4391249,465.4302049,541.4251549,435.1906649,385.1750649,207.99872
PS(14:1_19:0)+Na,770.4943249,683.4622949,672.5174249,487.5085049,563.5034549,457.2689649,385.1750649,207.99872
PS(14:1_20:0)+Na,784.5099249,697.4778949,686.5330249,501.5241049,577.5190549,471.2845649,385.1750649,207.99872
PS(14:1_20:1)+Na,782.4943249,695.4622949,684.5174249,499.5085049,575.5034549,469.2689649,385.1750649,207.99872
PS(14:1_20:2)+Na,780.4786249,693.4465949,682.5017249,497.4928049,573.4877549,467.2532649,385.1750649,207.99872
PS(14:1_20:3)+Na,778.4630249,691.4309949,680.4861249,495.4772049,571.4721549,465.2376649,385.1750649,207.99872
PS(14:1_20:4)+Na,776.4473249,689.4152949,678.4704249,493.4615049,569.4564549,463.2219649,385.1750649,207.99872
PS(14:1_20:5)+Na,774.4317249,687.3996949,676.4548249,491.4459049,567.4408549,461.2063649,385.1750649,207.99872
PS(14:1_21:0)+Na,798.5256249,711.4935949,700.5487249,515.5398049,591.5347549,485.3002649,385.1750649,207.99872
PS(14:1_22:0)+Na,812.5412249,725.5091949,714.5643249,529.5554049,605.5503549,499.3158649,385.1750649,207.99872
PS(14:1_22:1)+Na,810.5256249,723.4935949,712.5487249,527.5398049,603.5347549,497.3002649,385.1750649,207.99872
PS(14:1_22:2)+Na,808.5099249,721.4778949,710.5330249,525.5241049,601.5190549,495.2845649,385.1750649,207.99872
PS(14:1_22:3)+Na,806.4943249,719.4622949,708.5174249,523.5085049,599.5034549,493.2689649,385.1750649,207.99872
PS(14:1_22:4)+Na,804.4786249,717.4465949,706.5017249,521.4928049,597.4877549,491.2532649,385.1750649,207.99872
