Cer_NS,[M+HCO2]-,[M-H]-,[M-CO-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[FA+NCCO-3H]-,[FA+NCCO-3H]-,[Sph-N-O-5H]-,[FA+N-H]-,[Sph-NCC-3H]-,[FA-3H]-
Cer_NS(d17:1/20:3)+HCO2,618.51027,572.50489,542.49429,540.47859,524.48369,346.27523,330.28033,249.22291,304.26513,223.20728,287.23863
Cer_NS(d17:1/20:4)+HCO2,616.49461,570.48923,540.47863,538.46293,522.46803,344.25957,328.26467,249.22291,302.24947,223.20728,285.22297
Cer_NS(d17:1/21:0)+HCO2,638.57291,592.56753,562.55693,560.54123,544.54633,366.33787,350.34297,249.22291,324.32777,223.20728,307.30127
Cer_NS(d17:1/21:1)+HCO2,636.55725,590.55187,560.54127,558.52557,542.53067,364.32221,348.32731,249.22291,322.31211,223.20728,305.28561
Cer_NS(d17:1/21:2)+HCO2,634.54159,588.53621,558.52561,556.50991,540.51501,362.30655,346.31165,249.22291,320.29645,223.20728,303.26995
Cer_NS(d17:1/21:3)+HCO2,632.52593,586.52055,556.50995,554.49425,538.49935,360.29089,344.29599,249.22291,318.28079,223.20728,301.25429
Cer_NS(d17:1/21:4)+HCO2,630.51027,584.50489,554.49429,552.47859,536.48369,358.27523,342.28033,249.22291,316.26513,223.20728,299.23863
Cer_NS(d17:1/22:0)+HCO2,652.58857,606.58319,576.57259,574.55689,558.56199,380.35353,364.35863,249.22291,338.34343,223.20728,321.31693
Cer_NS(d17:1/22:1)+HCO2,650.57291,604.56753,574.55693,572.54123,556.54633,378.33787,362.34297,249.22291,336.32777,223.20728,319.30127
Cer_NS(d17:1/22:2)+HCO2,648.55725,602.55187,572.54127,570.52557,554.53067,376.32221,360.32731,249.22291,334.31211,223.20728,317.28561
Cer_NS(d17:1/22:3)+HCO2,646.54159,600.53621,570.52561,568.50991,552.51501,374.30655,358.31165,249.22291,332.29645,223.20728,315.26995
Cer_NS(d17:1/22:4)+HCO2,644.52593,598.52055,568.50995,566.49425,550.49935,372.29089,356.29599,249.22291,330.28079,223.20728,313.25429
Cer_NS(d17:1/23:0)+HCO2,666.60423,620.59885,590.58825,588.57255,572.57765,394.36919,378.37429,249.22291,352.35909,223.20728,335.33259
Cer_NS(d17:1/23:1)+HCO2,664.58857,618.58319,588.57259,586.55689,570.56199,392.35353,376.35863,249.22291,350.34343,223.20728,333.31693
Cer_NS(d17:1/23:2)+HCO2,662.57291,616.56753,586.55693,584.54123,568.54633,390.33787,374.34297,249.22291,348.32777,223.20728,331.30127
Cer_NS(d17:1/23:3)+HCO2,660.55725,614.55187,584.54127,582.52557,566.53067,388.32221,372.32731,249.22291,346.31211,223.20728,329.28561
Cer_NS(d17:1/23:4)+HCO2,658.54159,612.53621,582.52561,580.50991,564.51501,386.30655,370.31165,249.22291,344.29645,223.20728,327.26995
Cer_NS(d17:1/24:0)+HCO2,680.61989,634.61451,604.60391,602.58821,586.59331,408.38485,392.38995,249.22291,366.37475,223.20728,349.34825
Cer_NS(d17:1/24:1)+HCO2,678.60423,632.59885,602.58825,600.57255,584.57765,406.36919,390.37429,249.22291,364.35909,223.20728,347.33259
Cer_NS(d17:1/24:2)+HCO2,676.58857,630.58319,600.57259,598.55689,582.56199,404.35353,388.35863,249.22291,362.34343,223.20728,345.31693
Cer_NS(d17:1/24:3)+HCO2,674.57291,628.56753,598.55693,596.54123,580.54633,402.33787,386.34297,249.22291,360.32777,223.20728,343.30127
Cer_NS(d17:1/24:4)+HCO2,672.55725,626.55187,596.54127,594.52557,578.53067,400.32221,384.32731,249.22291,358.31211,223.20728,341.28561
Cer_NS(d17:1/25:0)+HCO2,694.63555,648.63017,618.61957,616.60387,600.60897,422.40051,406.40561,249.22291,380.39041,223.20728,363.36391
Cer_NS(d17:1/25:1)+HCO2,692.61989,646.61451,616.60391,614.58821,598.59331,420.38485,404.38995,249.22291,378.37475,223.20728,361.34825
Cer_NS(d17:1/25:2)+HCO2,690.60423,644.59885,614.58825,612.57255,596.57765,418.36919,402.37429,249.22291,376.35909,223.20728,359.33259
Cer_NS(d17:1/25:3)+HCO2,688.58857,642.58319,612.57259,610.55689,594.56199,416.35353,400.35863,249.22291,374.34343,223.20728,357.31693
Cer_NS(d17:1/25:4)+HCO2,686.57291,640.56753,610.55693,608.54123,592.54633,414.33787,398.34297,249.22291,372.32777,223.20728,355.30127
Cer_NS(d17:1/26:0)+HCO2,708.65121,662.64583,632.63523,630.61953,614.62463,436.41617,420.42127,249.22291,394.40607,223.20728,377.37957
Cer_NS(d17:1/26:1)+HCO2,706.63555,660.63017,630.61957,628.60387,612.60897,434.40051,418.40561,249.22291,392.39041,223.20728,375.36391
Cer_NS(d17:1/26:2)+HCO2,704.61989,658.61451,628.60391,626.58821,610.59331,432.38485,416.38995,249.22291,390.37475,223.20728,373.34825
Cer_NS(d17:1/26:3)+HCO2,702.60423,656.59885,626.58825,624.57255,608.57765,430.36919,414.37429,249.22291,388.35909,223.20728,371.33259
