PS,[M-H]-,M-Serine,GlyceroPC_NLCH3&H2O, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PS(43:5)-H,878.5918,791.55978,224.06881,152.99586,96.96964,78.95852
PS(43:6)-H,876.5761,789.54408,224.06881,152.99586,96.96964,78.95852
PS(44:0)-H,902.6856,815.65358,224.06881,152.99586,96.96964,78.95852
PS(44:1)-H,900.67,813.63798,224.06881,152.99586,96.96964,78.95852
PS(44:10)-H,882.5291,795.49708,224.06881,152.99586,96.96964,78.95852
PS(44:11)-H,880.5135,793.48148,224.06881,152.99586,96.96964,78.95852
PS(44:12)-H,878.4978,791.46578,224.06881,152.99586,96.96964,78.95852
PS(44:2)-H,898.6543,811.62228,224.06881,152.99586,96.96964,78.95852
PS(44:3)-H,896.6387,809.60668,224.06881,152.99586,96.96964,78.95852
PS(44:4)-H,894.623,807.59098,224.06881,152.99586,96.96964,78.95852
PS(44:5)-H,892.6074,805.57538,224.06881,152.99586,96.96964,78.95852
PS(44:6)-H,890.5918,803.55978,224.06881,152.99586,96.96964,78.95852
PS(44:7)-H,888.5761,801.54408,224.06881,152.99586,96.96964,78.95852
PS(44:8)-H,886.5604,799.52838,224.06881,152.99586,96.96964,78.95852
PS(44:9)-H,884.5448,797.51278,224.06881,152.99586,96.96964,78.95852
PS(45:0)-H,916.7013,829.66928,224.06881,152.99586,96.96964,78.95852
PS(45:1)-H,914.6857,827.65368,224.06881,152.99586,96.96964,78.95852
PS(45:2)-H,912.67,825.63798,224.06881,152.99586,96.96964,78.95852
PS(45:3)-H,910.6544,823.62238,224.06881,152.99586,96.96964,78.95852
PS(45:4)-H,908.6387,821.60668,224.06881,152.99586,96.96964,78.95852
PS(45:5)-H,906.6231,819.59108,224.06881,152.99586,96.96964,78.95852
PS(45:6)-H,904.6074,817.57538,224.06881,152.99586,96.96964,78.95852
PS(46:0)-H,930.7169,843.68488,224.06881,152.99586,96.96964,78.95852
