PE,[M+H]+,NL_head,NL_T1RCO,NL_T2RCO,T1_RCO+,T2_RCO+,head
PE(15:0_16:1)+H,676.49128,535.47217,311.25812,299.25812,225.22135,237.22135,142.02639
PE(15:0_17:0)+H,692.52258,551.50347,327.28942,299.25812,225.22135,253.25265,142.02639
PE(15:0_17:1)+H,690.50688,549.48777,325.27372,299.25812,225.22135,251.23695,142.02639
PE(15:0_17:2)+H,688.49128,547.47217,323.25812,299.25812,225.22135,249.22135,142.02639
PE(15:0_18:0)+H,706.53818,565.51907,341.30502,299.25812,225.22135,267.26825,142.02639
PE(15:0_18:1)+H,704.52258,563.50347,339.28942,299.25812,225.22135,265.25265,142.02639
PE(15:0_18:2)+H,702.50688,561.48777,337.27372,299.25812,225.22135,263.23695,142.02639
PE(15:0_18:3)+H,700.49128,559.47217,335.25812,299.25812,225.22135,261.22135,142.02639
PE(15:0_18:4)+H,698.47558,557.45647,333.24242,299.25812,225.22135,259.20565,142.02639
PE(15:0_19:0)+H,720.55388,579.53477,355.32072,299.25812,225.22135,281.28395,142.02639
PE(15:0_20:0)+H,734.56948,593.55037,369.33632,299.25812,225.22135,295.29955,142.02639
PE(15:0_20:1)+H,732.55388,591.53477,367.32072,299.25812,225.22135,293.28395,142.02639
PE(15:0_20:2)+H,730.53818,589.51907,365.30502,299.25812,225.22135,291.26825,142.02639
PE(15:0_20:3)+H,728.52258,587.50347,363.28942,299.25812,225.22135,289.25265,142.02639
PE(15:0_20:4)+H,726.50688,585.48777,361.27372,299.25812,225.22135,287.23695,142.02639
PE(15:0_20:5)+H,724.49128,583.47217,359.25812,299.25812,225.22135,285.22135,142.02639
PE(15:0_21:0)+H,748.58518,607.56607,383.35202,299.25812,225.22135,309.31525,142.02639
PE(15:0_22:0)+H,762.60078,621.58167,397.36762,299.25812,225.22135,323.33085,142.02639
PE(15:0_22:1)+H,760.58518,619.56607,395.35202,299.25812,225.22135,321.31525,142.02639
PE(15:0_22:2)+H,758.56948,617.55037,393.33632,299.25812,225.22135,319.29955,142.02639
PE(15:0_22:3)+H,756.55388,615.53477,391.32072,299.25812,225.22135,317.28395,142.02639
PE(15:0_22:4)+H,754.53818,613.51907,389.30502,299.25812,225.22135,315.26825,142.02639
