GlcCer_NS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
GlcCer_NS(d16:1/35:0)+HCO2,982.82939,936.82389,774.77109,546.56221,503.54411,209.19162,179.05615
GlcCer_NS(d16:1/35:1)+HCO2,980.81373,934.80823,772.75543,544.54655,501.52845,209.19162,179.05615
GlcCer_NS(d16:1/35:2)+HCO2,978.79807,932.79257,770.73977,542.53089,499.51279,209.19162,179.05615
GlcCer_NS(d16:1/35:3)+HCO2,976.78241,930.77691,768.72411,540.51523,497.49713,209.19162,179.05615
GlcCer_NS(d16:1/35:4)+HCO2,974.76675,928.76125,766.70845,538.49957,495.48147,209.19162,179.05615
GlcCer_NS(d16:1/36:0)+HCO2,996.84505,950.83955,788.78675,560.57787,517.55977,209.19162,179.05615
GlcCer_NS(d16:1/36:1)+HCO2,994.82939,948.82389,786.77109,558.56221,515.54411,209.19162,179.05615
GlcCer_NS(d16:1/36:2)+HCO2,992.81373,946.80823,784.75543,556.54655,513.52845,209.19162,179.05615
GlcCer_NS(d16:1/36:3)+HCO2,990.79807,944.79257,782.73977,554.53089,511.51279,209.19162,179.05615
GlcCer_NS(d16:1/36:4)+HCO2,988.78241,942.77691,780.72411,552.51523,509.49713,209.19162,179.05615
GlcCer_NS(d17:1/14:0)+HCO2,702.51619,656.51069,494.45789,252.23335,209.21525,223.20728,179.05615
GlcCer_NS(d17:1/14:1)+HCO2,700.50053,654.49503,492.44223,250.21769,207.19959,223.20728,179.05615
GlcCer_NS(d17:1/14:2)+HCO2,698.48487,652.47937,490.42657,248.20203,205.18393,223.20728,179.05615
GlcCer_NS(d17:1/14:3)+HCO2,696.46921,650.46371,488.41091,246.18637,203.16827,223.20728,179.05615
GlcCer_NS(d17:1/15:0)+HCO2,716.53185,670.52635,508.47355,266.24901,223.23091,223.20728,179.05615
GlcCer_NS(d17:1/15:1)+HCO2,714.51619,668.51069,506.45789,264.23335,221.21525,223.20728,179.05615
GlcCer_NS(d17:1/15:2)+HCO2,712.50053,666.49503,504.44223,262.21769,219.19959,223.20728,179.05615
GlcCer_NS(d17:1/15:3)+HCO2,710.48487,664.47937,502.42657,260.20203,217.18393,223.20728,179.05615
GlcCer_NS(d17:1/16:0)+HCO2,730.54751,684.54201,522.48921,280.26467,237.24657,223.20728,179.05615
GlcCer_NS(d17:1/16:1)+HCO2,728.53185,682.52635,520.47355,278.24901,235.23091,223.20728,179.05615
GlcCer_NS(d17:1/16:2)+HCO2,726.51619,680.51069,518.45789,276.23335,233.21525,223.20728,179.05615
GlcCer_NS(d17:1/16:3)+HCO2,724.50053,678.49503,516.44223,274.21769,231.19959,223.20728,179.05615
GlcCer_NS(d17:1/16:4)+HCO2,722.48487,676.47937,514.42657,272.20203,229.18393,223.20728,179.05615
GlcCer_NS(d17:1/17:0)+HCO2,744.56317,698.55767,536.50487,294.28033,251.26223,223.20728,179.05615
GlcCer_NS(d17:1/17:1)+HCO2,742.54751,696.54201,534.48921,292.26467,249.24657,223.20728,179.05615
GlcCer_NS(d17:1/17:2)+HCO2,740.53185,694.52635,532.47355,290.24901,247.23091,223.20728,179.05615
GlcCer_NS(d17:1/17:3)+HCO2,738.51619,692.51069,530.45789,288.23335,245.21525,223.20728,179.05615
GlcCer_NS(d17:1/18:0)+HCO2,758.57883,712.57333,550.52053,308.29599,265.27789,223.20728,179.05615
GlcCer_NS(d17:1/18:1)+HCO2,756.56317,710.55767,548.50487,306.28033,263.26223,223.20728,179.05615
GlcCer_NS(d17:1/18:2)+HCO2,754.54751,708.54201,546.48921,304.26467,261.24657,223.20728,179.05615
GlcCer_NS(d17:1/18:3)+HCO2,752.53185,706.52635,544.47355,302.24901,259.23091,223.20728,179.05615
GlcCer_NS(d17:1/18:4)+HCO2,750.51619,704.51069,542.45789,300.23335,257.21525,223.20728,179.05615
GlcCer_NS(d17:1/19:0)+HCO2,772.59449,726.58899,564.53619,322.31165,279.29355,223.20728,179.05615
