GlcCer_NDS,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[Sph-C2H7NO-H]-,[FAA-OH-H]-,[C6H11O6]-
GlcCer_NDS(d18:0/16:0)-H,700.57335,538.52045,280.26455,239.23855,237.24675,179.05615
GlcCer_NDS(d18:0/16:1)-H,698.55765,536.50485,278.24895,239.23855,235.23105,179.05615
GlcCer_NDS(d18:0/16:2)-H,696.54195,534.48915,276.23335,239.23855,233.21545,179.05615
GlcCer_NDS(d18:0/16:3)-H,694.52635,532.47355,274.21765,239.23855,231.19975,179.05615
GlcCer_NDS(d18:0/16:4)-H,692.51065,530.45785,272.20195,239.23855,229.18415,179.05615
GlcCer_NDS(d18:0/17:0)-H,714.58895,552.53615,294.28025,239.23855,251.26245,179.05615
GlcCer_NDS(d18:0/17:1)-H,712.57335,550.52045,292.26455,239.23855,249.24675,179.05615
GlcCer_NDS(d18:0/17:2)-H,710.55765,548.50485,290.24895,239.23855,247.23105,179.05615
GlcCer_NDS(d18:0/17:3)-H,708.54195,546.48915,288.23335,239.23855,245.21545,179.05615
GlcCer_NDS(d18:0/18:0)-H,728.60465,566.55175,308.29585,239.23855,265.27805,179.05615
GlcCer_NDS(d18:0/18:1)-H,726.58895,564.53615,306.28025,239.23855,263.26235,179.05615
GlcCer_NDS(d18:0/18:2)-H,724.57335,562.52045,304.26455,239.23855,261.24675,179.05615
GlcCer_NDS(d18:0/18:3)-H,722.55765,560.50485,302.24895,239.23855,259.23115,179.05615
GlcCer_NDS(d18:0/18:4)-H,720.54195,558.48915,300.23335,239.23855,257.21545,179.05615
GlcCer_NDS(d18:0/19:0)-H,742.62025,580.56745,322.31155,239.23855,279.29375,179.05615
GlcCer_NDS(d18:0/19:1)-H,740.60465,578.55175,320.29585,239.23855,277.27805,179.05615
GlcCer_NDS(d18:0/19:2)-H,738.58895,576.53615,318.28025,239.23855,275.26235,179.05615
GlcCer_NDS(d18:0/19:3)-H,736.57335,574.52045,316.26455,239.23855,273.24675,179.05615
GlcCer_NDS(d18:0/19:4)-H,734.55765,572.50485,314.24895,239.23855,271.23115,179.05615
GlcCer_NDS(d18:0/20:0)-H,756.63595,594.58305,336.32725,239.23855,293.30935,179.05615
GlcCer_NDS(d18:0/20:1)-H,754.62025,592.56745,334.31155,239.23855,291.29375,179.05615
GlcCer_NDS(d18:0/20:2)-H,752.60465,590.55175,332.29585,239.23855,289.27805,179.05615
GlcCer_NDS(d18:0/20:3)-H,750.58895,588.53615,330.28025,239.23855,287.26235,179.05615
GlcCer_NDS(d18:0/20:4)-H,748.57335,586.52045,328.26455,239.23855,285.24675,179.05615
GlcCer_NDS(d18:0/21:0)-H,770.65155,608.59865,350.34285,239.23855,307.32505,179.05615
GlcCer_NDS(d18:0/21:1)-H,768.63595,606.58305,348.32725,239.23855,305.30935,179.05615
GlcCer_NDS(d18:0/21:2)-H,766.62025,604.56745,346.31155,239.23855,303.29375,179.05615
GlcCer_NDS(d18:0/21:3)-H,764.60465,602.55175,344.29585,239.23855,301.27805,179.05615
GlcCer_NDS(d18:0/21:4)-H,762.58895,600.53615,342.28025,239.23855,299.26235,179.05615
GlcCer_NDS(d18:0/22:0)-H,784.66715,622.61435,364.35845,239.23855,321.34065,179.05615
