OxLPE,[M-H]-,NL_T1Ketene&serene,NL_T1RCOOH,T1_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,EthanolaminePhosphate,EthanolaminePhosphate_NLH2O
OxLPE(20:4(OOOO))-H,564.25795,214.048615,196.038055,367.21263,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:5(OOOO))-H,562.24235,214.048615,196.038055,365.19703,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:1(OOOO))-H,598.33625,214.048615,196.038055,401.29093,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:2(OOOO))-H,596.32055,214.048615,196.038055,399.27523,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:3(OOOO))-H,594.30495,214.048615,196.038055,397.25963,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:4(OOOO))-H,592.28925,214.048615,196.038055,395.24393,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:5(OOOO))-H,590.27365,214.048615,196.038055,393.22833,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:6(OOOO))-H,588.25795,214.048615,196.038055,391.21263,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(24:1(OOOO))-H,626.36755,214.048615,196.038055,429.32223,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:1(Ke))-H,436.21063,214.048615,196.038055,239.16531,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:1(Ke))-H,450.22623,214.048615,196.038055,253.18091,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:1(Ke))-H,464.24193,214.048615,196.038055,267.19661,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(17:1(Ke))-H,478.25753,214.048615,196.038055,281.21221,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(17:2(Ke))-H,476.24193,214.048615,196.038055,279.19661,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:1(Ke))-H,492.27323,214.048615,196.038055,295.22791,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:2(Ke))-H,490.25753,214.048615,196.038055,293.21221,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:3(Ke))-H,488.24193,214.048615,196.038055,291.19661,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:4(Ke))-H,486.22623,214.048615,196.038055,289.18091,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:1(Ke))-H,520.30453,214.048615,196.038055,323.25921,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:2(Ke))-H,518.28883,214.048615,196.038055,321.24351,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:3(Ke))-H,516.27323,214.048615,196.038055,319.22791,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:5(Ke))-H,512.24193,214.048615,196.038055,315.19661,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:1(Ke))-H,548.33583,214.048615,196.038055,351.29051,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:2(Ke))-H,546.32013,214.048615,196.038055,349.27481,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:3(Ke))-H,544.30453,214.048615,196.038055,347.25921,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:4(Ke))-H,542.28883,214.048615,196.038055,345.24351,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:5(Ke))-H,540.27323,214.048615,196.038055,343.22791,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:6(Ke))-H,538.25753,214.048615,196.038055,341.21221,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(24:1(Ke))-H,576.36713,214.048615,196.038055,379.32181,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(14:1(Ke,OH))-H",452.20555,214.048615,196.038055,255.16023,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(15:1(Ke,OH))-H",466.22115,214.048615,196.038055,269.17583,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(16:1(Ke,OH))-H",480.23685,214.048615,196.038055,283.19153,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(17:1(Ke,OH))-H",494.25245,214.048615,196.038055,297.20713,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(17:2(Ke,OH))-H",492.23685,214.048615,196.038055,295.19153,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(18:1(Ke,OH))-H",508.26815,214.048615,196.038055,311.22283,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(18:2(Ke,OH))-H",506.25245,214.048615,196.038055,309.20713,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(18:3(Ke,OH))-H",504.23685,214.048615,196.038055,307.19153,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(18:4(Ke,OH))-H",502.22115,214.048615,196.038055,305.17583,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(20:1(Ke,OH))-H",536.29945,214.048615,196.038055,339.25413,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(20:2(Ke,OH))-H",534.28375,214.048615,196.038055,337.23843,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(20:3(Ke,OH))-H",532.26815,214.048615,196.038055,335.22283,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(20:4(Ke,OH))-H",530.25245,214.048615,196.038055,333.20713,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(20:5(Ke,OH))-H",528.23685,214.048615,196.038055,331.19153,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(22:1(Ke,OH))-H",564.33075,214.048615,196.038055,367.28543,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(22:2(Ke,OH))-H",562.31505,214.048615,196.038055,365.26973,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(22:3(Ke,OH))-H",560.29945,214.048615,196.038055,363.25413,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(22:4(Ke,OH))-H",558.28375,214.048615,196.038055,361.23843,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(22:5(Ke,OH))-H",556.26815,214.048615,196.038055,359.22283,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(22:6(Ke,OH))-H",554.25245,214.048615,196.038055,357.20713,152.99586,96.96964,78.95852,140.01128,122.0007
"OxLPE(24:1(Ke,OH))-H",592.36205,214.048615,196.038055,395.31673,152.99586,96.96964,78.95852,140.01128,122.0007
