Cer_NP,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer_NP(t17:0/17:1)-H,552.49975,534.48915,516.47855,322.27465,310.27465,310.27465,292.26405,253.21675,267.23355,241.21675,266.24895,211.20615
Cer_NP(t17:0/17:2)-H,550.48405,532.47355,514.46295,320.25895,308.25895,308.25895,290.24845,253.21675,265.21785,241.21675,264.23325,211.20615
Cer_NP(t17:0/17:3)-H,548.46845,530.45785,512.44735,318.24335,306.24335,306.24335,288.23275,253.21675,263.20225,241.21675,262.21765,211.20615
Cer_NP(t17:0/18:0)-H,568.53105,550.52045,532.50985,338.30595,326.30595,326.30595,308.29535,253.21675,283.26485,241.21675,282.28025,211.20615
Cer_NP(t17:0/18:1)-H,566.51535,548.50485,530.49425,336.29025,324.29025,324.29025,306.27965,253.21675,281.24915,241.21675,280.26455,211.20615
Cer_NP(t17:0/18:2)-H,564.49975,546.48915,528.47855,334.27465,322.27465,322.27465,304.26405,253.21675,279.23355,241.21675,278.24895,211.20615
Cer_NP(t17:0/18:3)-H,562.48405,544.47355,526.46295,332.25895,320.25895,320.25895,302.24845,253.21675,277.21785,241.21675,276.23325,211.20615
Cer_NP(t17:0/18:4)-H,560.46845,542.45785,524.44735,330.24335,318.24335,318.24335,300.23275,253.21675,275.20225,241.21675,274.21765,211.20615
Cer_NP(t17:0/19:0)-H,582.54665,564.53615,546.52555,352.32155,340.32155,340.32155,322.31105,253.21675,297.28045,241.21675,296.29585,211.20615
Cer_NP(t17:0/19:1)-H,580.53105,562.52045,544.50985,350.30595,338.30595,338.30595,320.29535,253.21675,295.26485,241.21675,294.28025,211.20615
Cer_NP(t17:0/19:2)-H,578.51535,560.50485,542.49425,348.29025,336.29025,336.29025,318.27965,253.21675,293.24915,241.21675,292.26455,211.20615
Cer_NP(t17:0/19:3)-H,576.49975,558.48915,540.47855,346.27465,334.27465,334.27465,316.26405,253.21675,291.23355,241.21675,290.24895,211.20615
Cer_NP(t17:0/19:4)-H,574.48405,556.47355,538.46295,344.25895,332.25895,332.25895,314.24845,253.21675,289.21785,241.21675,288.23325,211.20615
Cer_NP(t17:0/20:0)-H,596.56235,578.55175,560.54115,366.33725,354.33725,354.33725,336.32665,253.21675,311.29615,241.21675,310.31155,211.20615
Cer_NP(t17:0/20:1)-H,594.54665,576.53615,558.52555,364.32155,352.32155,352.32155,334.31105,253.21675,309.28045,241.21675,308.29585,211.20615
Cer_NP(t17:0/20:2)-H,592.53105,574.52045,556.50985,362.30595,350.30595,350.30595,332.29535,253.21675,307.26485,241.21675,306.28025,211.20615
Cer_NP(t17:0/20:3)-H,590.51535,572.50485,554.49425,360.29025,348.29025,348.29025,330.27965,253.21675,305.24915,241.21675,304.26455,211.20615
Cer_NP(t17:0/20:4)-H,588.49975,570.48915,552.47855,358.27465,346.27465,346.27465,328.26405,253.21675,303.23355,241.21675,302.24895,211.20615
Cer_NP(t17:0/21:0)-H,610.57805,592.56745,574.55685,380.35285,368.35285,368.35285,350.34225,253.21675,325.31175,241.21675,324.32715,211.20615
Cer_NP(t17:0/21:1)-H,608.56235,590.55175,572.54115,378.33725,366.33725,366.33725,348.32665,253.21675,323.29615,241.21675,322.31155,211.20615
Cer_NP(t17:0/21:2)-H,606.54665,588.53615,570.52555,376.32155,364.32155,364.32155,346.31105,253.21675,321.28045,241.21675,320.29585,211.20615
Cer_NP(t17:0/21:3)-H,604.53105,586.52045,568.50985,374.30595,362.30595,362.30595,344.29535,253.21675,319.26485,241.21675,318.28025,211.20615
Cer_NP(t17:0/21:4)-H,602.51535,584.50485,566.49425,372.29025,360.29025,360.29025,342.27965,253.21675,317.24915,241.21675,316.26455,211.20615
Cer_NP(t17:0/22:0)-H,624.59365,606.58305,588.57255,394.36855,382.36855,382.36855,364.35795,253.21675,339.32745,241.21675,338.34285,211.20615
Cer_NP(t17:0/22:1)-H,622.57805,604.56745,586.55685,392.35285,380.35285,380.35285,362.34225,253.21675,337.31175,241.21675,336.32715,211.20615
Cer_NP(t17:0/22:2)-H,620.56235,602.55175,584.54115,390.33725,378.33725,378.33725,360.32665,253.21675,335.29615,241.21675,334.31155,211.20615
Cer_NP(t17:0/22:3)-H,618.54665,600.53615,582.52555,388.32155,376.32155,376.32155,358.31105,253.21675,333.28045,241.21675,332.29585,211.20615
Cer_NP(t17:0/22:4)-H,616.53105,598.52045,580.50985,386.30595,374.30595,374.30595,356.29535,253.21675,331.26485,241.21675,330.28025,211.20615
Cer_NP(t17:0/23:0)-H,638.60935,620.59865,602.58815,408.38415,396.38415,396.38415,378.37355,253.21675,353.34305,241.21675,352.35845,211.20615
Cer_NP(t17:0/23:1)-H,636.59365,618.58305,600.57255,406.36855,394.36855,394.36855,376.35795,253.21675,351.32745,241.21675,350.34285,211.20615
Cer_NP(t17:0/23:2)-H,634.57805,616.56745,598.55685,404.35285,392.35285,392.35285,374.34225,253.21675,349.31175,241.21675,348.32715,211.20615
Cer_NP(t17:0/23:3)-H,632.56235,614.55175,596.54115,402.33725,390.33725,390.33725,372.32665,253.21675,347.29615,241.21675,346.31155,211.20615
Cer_NP(t17:0/23:4)-H,630.54665,612.53615,594.52555,400.32155,388.32155,388.32155,370.31105,253.21675,345.28045,241.21675,344.29585,211.20615
Cer_NP(t17:0/24:0)-H,652.62495,634.61435,616.60385,422.39985,410.39985,410.39985,392.38925,253.21675,367.35875,241.21675,366.37415,211.20615
Cer_NP(t17:0/24:1)-H,650.60935,632.59865,614.58815,420.38415,408.38415,408.38415,390.37355,253.21675,365.34305,241.21675,364.35845,211.20615
Cer_NP(t17:0/24:2)-H,648.59365,630.58305,612.57255,418.36855,406.36855,406.36855,388.35795,253.21675,363.32745,241.21675,362.34285,211.20615
Cer_NP(t17:0/24:3)-H,646.57805,628.56745,610.55685,416.35285,404.35285,404.35285,386.34225,253.21675,361.31175,241.21675,360.32715,211.20615
Cer_NP(t17:0/24:4)-H,644.56235,626.55175,608.54115,414.33725,402.33725,402.33725,384.32665,253.21675,359.29615,241.21675,358.31155,211.20615
Cer_NP(t17:0/25:0)-H,666.64055,648.63005,630.61945,436.41545,424.41545,424.41545,406.40495,253.21675,381.37435,241.21675,380.38985,211.20615
Cer_NP(t17:0/25:1)-H,664.62495,646.61435,628.60385,434.39985,422.39985,422.39985,404.38925,253.21675,379.35875,241.21675,378.37415,211.20615
Cer_NP(t17:0/25:2)-H,662.60935,644.59865,626.58815,432.38415,420.38415,420.38415,402.37355,253.21675,377.34305,241.21675,376.35845,211.20615
Cer_NP(t17:0/25:3)-H,660.59365,642.58305,624.57255,430.36855,418.36855,418.36855,400.35795,253.21675,375.32745,241.21675,374.34285,211.20615
