HexCer-AP,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FA+NC(C)CO-H]-,[FA+NCC-3H]-,[FA+O-H]-,[C6H12O6-H]-,[FA-CO-3H]-
HexCer-AP(t14:1/29:0)+HCO2,902.6932,856.6878,694.6349,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t14:1/29:1)+HCO2,900.6776,854.6721,692.6193,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t14:1/30:0)+HCO2,916.7089,870.7034,708.6506,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t14:1/30:1)+HCO2,914.6932,868.6878,706.6349,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t14:1/30:2)+HCO2,912.6776,866.6721,704.6193,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t14:1/31:0)+HCO2,930.7245,884.7191,722.6663,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t14:1/31:1)+HCO2,928.7089,882.7034,720.6506,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t14:1/32:0)+HCO2,944.7402,898.7347,736.6819,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t14:1/32:1)+HCO2,942.7245,896.7191,734.6663,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t14:1/32:2)+HCO2,940.7089,894.7034,732.6506,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t14:1/33:0)+HCO2,958.7559,912.7504,750.6976,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t14:1/33:1)+HCO2,956.7402,910.7347,748.6819,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t14:1/34:0)+HCO2,972.7715,926.7661,764.7132,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t14:1/34:1)+HCO2,970.7559,924.7504,762.6976,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t14:1/34:2)+HCO2,968.7402,922.7347,760.6819,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t14:1/35:0)+HCO2,986.7872,940.7817,778.7288,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t14:1/35:1)+HCO2,984.7715,938.7661,776.7132,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t14:1/36:0)+HCO2,1000.803,954.7973,792.7445,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t14:1/36:1)+HCO2,998.7872,952.7817,790.7288,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t14:1/36:2)+HCO2,996.7715,950.7661,788.7132,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t14:1/38:0)+HCO2,1028.834,982.8286,820.7758,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t14:1/38:1)+HCO2,1026.818,980.813,818.7601,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t14:1/38:2)+HCO2,1024.803,978.7973,816.7445,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t14:1/40:0)+HCO2,1056.865,1010.86,848.8071,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t14:1/40:1)+HCO2,1054.85,1008.844,846.7914,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t14:1/40:2)+HCO2,1052.834,1006.829,844.7758,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t14:1/42:0)+HCO2,1084.897,1038.891,876.8384,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t14:1/42:1)+HCO2,1082.881,1036.876,874.8228,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t14:1/42:2)+HCO2,1080.865,1034.86,872.8071,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t14:2/12:0)+HCO2,662.4116,616.4061,454.3532,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t14:2/12:1)+HCO2,660.3959,614.3904,452.3376,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t14:2/13:0)+HCO2,676.4272,630.4218,468.3689,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t14:2/13:1)+HCO2,674.4116,628.4061,466.3532,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t14:2/14:0)+HCO2,690.4429,644.4374,482.3846,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t14:2/14:1)+HCO2,688.4272,642.4218,480.3689,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t14:2/15:0)+HCO2,704.4585,658.453,496.4002,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t14:2/15:1)+HCO2,702.4429,656.4374,494.3846,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t14:2/16:0)+HCO2,718.4741,672.4687,510.4158,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t14:2/16:1)+HCO2,716.4585,670.453,508.4002,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t14:2/16:2)+HCO2,714.4429,668.4374,506.3846,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t14:2/17:0)+HCO2,732.4898,686.4843,524.4315,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t14:2/18:0)+HCO2,746.5054,700.5,538.4471,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t14:2/18:1)+HCO2,744.4898,698.4843,536.4315,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t14:2/18:2)+HCO2,742.4741,696.4687,534.4158,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t14:2/19:0)+HCO2,760.5211,714.5156,552.4628,368.3159,338.3054,313.2748,179.0556,267.2693
