HexCer-AP,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FA+NC(C)CO-H]-,[FA+NCC-3H]-,[FA+O-H]-,[C6H12O6-H]-,[FA-CO-3H]-
HexCer-AP(t28:1/35:0)+HCO2,1183.006,1137.001,974.9479,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t28:1/35:1)+HCO2,1180.991,1134.985,972.9323,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t28:1/36:0)+HCO2,1197.022,1151.016,988.9636,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t28:1/36:1)+HCO2,1195.006,1149.001,986.9479,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t28:1/36:2)+HCO2,1192.991,1146.985,984.9323,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t28:1/38:0)+HCO2,1225.053,1179.048,1016.995,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t28:1/38:1)+HCO2,1223.038,1177.032,1014.979,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t28:1/38:2)+HCO2,1221.022,1175.016,1012.964,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t28:1/40:0)+HCO2,1253.084,1207.079,1045.026,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t28:1/40:1)+HCO2,1251.069,1205.063,1043.01,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t28:1/40:2)+HCO2,1249.053,1203.048,1040.995,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t28:1/42:0)+HCO2,1281.116,1235.11,1073.057,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t28:1/42:1)+HCO2,1279.1,1233.095,1071.042,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t28:1/42:2)+HCO2,1277.084,1231.079,1069.026,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t28:2/12:0)+HCO2,858.6307,812.6252,650.5723,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t28:2/12:1)+HCO2,856.615,810.6096,648.5567,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t28:2/13:0)+HCO2,872.6463,826.6408,664.588,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t28:2/13:1)+HCO2,870.6307,824.6252,662.5723,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t28:2/14:0)+HCO2,886.6619,840.6565,678.6036,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t28:2/14:1)+HCO2,884.6463,838.6408,676.588,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t28:2/15:0)+HCO2,900.6776,854.6721,692.6193,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t28:2/15:1)+HCO2,898.6619,852.6565,690.6036,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t28:2/16:0)+HCO2,914.6932,868.6878,706.6349,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t28:2/16:1)+HCO2,912.6776,866.6721,704.6193,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t28:2/16:2)+HCO2,910.6619,864.6565,702.6036,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t28:2/17:0)+HCO2,928.7089,882.7034,720.6506,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t28:2/18:0)+HCO2,942.7245,896.7191,734.6663,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t28:2/18:1)+HCO2,940.7089,894.7034,732.6506,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t28:2/18:2)+HCO2,938.6932,892.6878,730.6349,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t28:2/19:0)+HCO2,956.7402,910.7347,748.6819,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t28:2/19:1)+HCO2,954.7245,908.7191,746.6663,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t28:2/20:0)+HCO2,970.7559,924.7504,762.6976,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t28:2/20:1)+HCO2,968.7402,922.7347,760.6819,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t28:2/20:2)+HCO2,966.7245,920.7191,758.6663,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t28:2/21:0)+HCO2,984.7715,938.7661,776.7132,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t28:2/21:1)+HCO2,982.7559,936.7504,774.6976,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t28:2/22:0)+HCO2,998.7872,952.7817,790.7288,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t28:2/22:1)+HCO2,996.7715,950.7661,788.7132,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t28:2/22:2)+HCO2,994.7559,948.7504,786.6976,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t28:2/23:0)+HCO2,1012.803,966.7973,804.7445,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t28:2/23:1)+HCO2,1010.787,964.7817,802.7288,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t28:2/24:0)+HCO2,1026.818,980.813,818.7601,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t28:2/24:1)+HCO2,1024.803,978.7973,816.7445,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t28:2/24:2)+HCO2,1022.787,976.7817,814.7288,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t28:2/25:0)+HCO2,1040.834,994.8286,832.7758,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t28:2/25:1)+HCO2,1038.818,992.813,830.7601,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t28:2/26:0)+HCO2,1054.85,1008.844,846.7914,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t28:2/26:1)+HCO2,1052.834,1006.829,844.7758,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t28:2/26:2)+HCO2,1050.818,1004.813,842.7601,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t28:2/27:0)+HCO2,1068.865,1022.86,860.8071,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t28:2/27:1)+HCO2,1066.85,1020.844,858.7914,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t28:2/28:0)+HCO2,1082.881,1036.876,874.8228,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t28:2/28:1)+HCO2,1080.865,1034.86,872.8071,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t28:2/28:2)+HCO2,1078.85,1032.844,870.7914,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t28:2/29:0)+HCO2,1096.897,1050.891,888.8384,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t28:2/29:1)+HCO2,1094.881,1048.876,886.8228,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t28:2/30:0)+HCO2,1110.912,1064.907,902.8541,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t28:2/30:1)+HCO2,1108.897,1062.891,900.8384,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t28:2/30:2)+HCO2,1106.881,1060.876,898.8228,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t28:2/31:0)+HCO2,1124.928,1078.922,916.8697,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t28:2/31:1)+HCO2,1122.912,1076.907,914.8541,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t28:2/32:0)+HCO2,1138.944,1092.938,930.8854,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t28:2/32:1)+HCO2,1136.928,1090.922,928.8697,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t28:2/32:2)+HCO2,1134.912,1088.907,926.8541,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t28:2/33:0)+HCO2,1152.959,1106.954,944.901,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t28:2/33:1)+HCO2,1150.944,1104.938,942.8854,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t28:2/34:0)+HCO2,1166.975,1120.969,958.9166,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t28:2/34:1)+HCO2,1164.959,1118.954,956.901,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t28:2/34:2)+HCO2,1162.944,1116.938,954.8854,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t28:2/35:0)+HCO2,1180.991,1134.985,972.9323,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t28:2/35:1)+HCO2,1178.975,1132.969,970.9166,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t28:2/36:0)+HCO2,1195.006,1149.001,986.9479,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t28:2/36:1)+HCO2,1192.991,1146.985,984.9323,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t28:2/36:2)+HCO2,1190.975,1144.969,982.9166,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t28:2/38:0)+HCO2,1223.038,1177.032,1014.979,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t28:2/38:1)+HCO2,1221.022,1175.016,1012.964,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t28:2/38:2)+HCO2,1219.006,1173.001,1010.948,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t28:2/40:0)+HCO2,1251.069,1205.063,1043.01,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t28:2/40:1)+HCO2,1249.053,1203.048,1040.995,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t28:2/40:2)+HCO2,1247.038,1201.032,1038.979,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t28:2/42:0)+HCO2,1279.1,1233.095,1071.042,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t28:2/42:1)+HCO2,1277.084,1231.079,1069.026,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t28:2/42:2)+HCO2,1275.069,1229.063,1067.01,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t29:0/12:0)+HCO2,876.6776,830.6721,668.6193,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t29:0/12:1)+HCO2,874.6619,828.6565,666.6036,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t29:0/13:0)+HCO2,890.6932,844.6878,682.6349,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t29:0/13:1)+HCO2,888.6776,842.6721,680.6193,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t29:0/14:0)+HCO2,904.7089,858.7034,696.6506,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t29:0/14:1)+HCO2,902.6932,856.6878,694.6349,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t29:0/15:0)+HCO2,918.7245,872.7191,710.6663,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t29:0/15:1)+HCO2,916.7089,870.7034,708.6506,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t29:0/16:0)+HCO2,932.7402,886.7347,724.6819,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t29:0/16:1)+HCO2,930.7245,884.7191,722.6663,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t29:0/16:2)+HCO2,928.7089,882.7034,720.6506,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t29:0/17:0)+HCO2,946.7559,900.7504,738.6976,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t29:0/18:0)+HCO2,960.7715,914.7661,752.7132,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t29:0/18:1)+HCO2,958.7559,912.7504,750.6976,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t29:0/18:2)+HCO2,956.7402,910.7347,748.6819,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t29:0/19:0)+HCO2,974.7872,928.7817,766.7288,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t29:0/19:1)+HCO2,972.7715,926.7661,764.7132,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t29:0/20:0)+HCO2,988.8028,942.7973,780.7445,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t29:0/20:1)+HCO2,986.7872,940.7817,778.7288,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t29:0/20:2)+HCO2,984.7715,938.7661,776.7132,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t29:0/21:0)+HCO2,1002.818,956.813,794.7601,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t29:0/21:1)+HCO2,1000.803,954.7973,792.7445,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t29:0/22:0)+HCO2,1016.834,970.8286,808.7758,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t29:0/22:1)+HCO2,1014.818,968.813,806.7601,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t29:0/22:2)+HCO2,1012.803,966.7973,804.7445,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t29:0/23:0)+HCO2,1030.85,984.8443,822.7914,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t29:0/23:1)+HCO2,1028.834,982.8286,820.7758,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t29:0/24:0)+HCO2,1044.865,998.8599,836.8071,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t29:0/24:1)+HCO2,1042.85,996.8443,834.7914,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t29:0/24:2)+HCO2,1040.834,994.8286,832.7758,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t29:0/25:0)+HCO2,1058.881,1012.876,850.8228,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t29:0/25:1)+HCO2,1056.865,1010.86,848.8071,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t29:0/26:0)+HCO2,1072.897,1026.891,864.8384,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t29:0/26:1)+HCO2,1070.881,1024.876,862.8228,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t29:0/26:2)+HCO2,1068.865,1022.86,860.8071,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t29:0/27:0)+HCO2,1086.912,1040.907,878.8541,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t29:0/27:1)+HCO2,1084.897,1038.891,876.8384,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t29:0/28:0)+HCO2,1100.928,1054.922,892.8697,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t29:0/28:1)+HCO2,1098.912,1052.907,890.8541,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t29:0/28:2)+HCO2,1096.897,1050.891,888.8384,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t29:0/29:0)+HCO2,1114.944,1068.938,906.8854,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t29:0/29:1)+HCO2,1112.928,1066.922,904.8697,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t29:0/30:0)+HCO2,1128.959,1082.954,920.901,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t29:0/30:1)+HCO2,1126.944,1080.938,918.8854,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t29:0/30:2)+HCO2,1124.928,1078.922,916.8697,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t29:0/31:0)+HCO2,1142.975,1096.969,934.9166,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t29:0/31:1)+HCO2,1140.959,1094.954,932.901,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t29:0/32:0)+HCO2,1156.991,1110.985,948.9323,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t29:0/32:1)+HCO2,1154.975,1108.969,946.9166,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t29:0/32:2)+HCO2,1152.959,1106.954,944.901,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t29:0/33:0)+HCO2,1171.006,1125.001,962.9479,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t29:0/33:1)+HCO2,1168.991,1122.985,960.9323,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t29:0/34:0)+HCO2,1185.022,1139.016,976.9636,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t29:0/34:1)+HCO2,1183.006,1137.001,974.9479,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t29:0/34:2)+HCO2,1180.991,1134.985,972.9323,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t29:0/35:0)+HCO2,1199.038,1153.032,990.9792,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t29:0/35:1)+HCO2,1197.022,1151.016,988.9636,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t29:0/36:0)+HCO2,1213.053,1167.048,1004.995,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t29:0/36:1)+HCO2,1211.038,1165.032,1002.979,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t29:0/36:2)+HCO2,1209.022,1163.016,1000.964,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t29:0/38:0)+HCO2,1241.084,1195.079,1033.026,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t29:0/38:1)+HCO2,1239.069,1193.063,1031.01,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t29:0/38:2)+HCO2,1237.053,1191.048,1028.995,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t29:0/40:0)+HCO2,1269.116,1223.11,1061.057,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t29:0/40:1)+HCO2,1267.1,1221.095,1059.042,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t29:0/40:2)+HCO2,1265.084,1219.079,1057.026,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t29:0/42:0)+HCO2,1297.147,1251.142,1089.089,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t29:0/42:1)+HCO2,1295.131,1249.126,1087.073,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t29:0/42:2)+HCO2,1293.116,1247.11,1085.057,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t29:1/12:0)+HCO2,874.6619,828.6565,666.6036,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t29:1/12:1)+HCO2,872.6463,826.6408,664.588,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t29:1/13:0)+HCO2,888.6776,842.6721,680.6193,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t29:1/13:1)+HCO2,886.6619,840.6565,678.6036,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t29:1/14:0)+HCO2,902.6932,856.6878,694.6349,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t29:1/14:1)+HCO2,900.6776,854.6721,692.6193,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t29:1/15:0)+HCO2,916.7089,870.7034,708.6506,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t29:1/15:1)+HCO2,914.6932,868.6878,706.6349,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t29:1/16:0)+HCO2,930.7245,884.7191,722.6663,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t29:1/16:1)+HCO2,928.7089,882.7034,720.6506,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t29:1/16:2)+HCO2,926.6932,880.6878,718.6349,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t29:1/17:0)+HCO2,944.7402,898.7347,736.6819,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t29:1/18:0)+HCO2,958.7559,912.7504,750.6976,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t29:1/18:1)+HCO2,956.7402,910.7347,748.6819,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t29:1/18:2)+HCO2,954.7245,908.7191,746.6663,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t29:1/19:0)+HCO2,972.7715,926.7661,764.7132,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t29:1/19:1)+HCO2,970.7559,924.7504,762.6976,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t29:1/20:0)+HCO2,986.7872,940.7817,778.7288,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t29:1/20:1)+HCO2,984.7715,938.7661,776.7132,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t29:1/20:2)+HCO2,982.7559,936.7504,774.6976,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t29:1/21:0)+HCO2,1000.803,954.7973,792.7445,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t29:1/21:1)+HCO2,998.7872,952.7817,790.7288,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t29:1/22:0)+HCO2,1014.818,968.813,806.7601,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t29:1/22:1)+HCO2,1012.803,966.7973,804.7445,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t29:1/22:2)+HCO2,1010.787,964.7817,802.7288,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t29:1/23:0)+HCO2,1028.834,982.8286,820.7758,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t29:1/23:1)+HCO2,1026.818,980.813,818.7601,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t29:1/24:0)+HCO2,1042.85,996.8443,834.7914,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t29:1/24:1)+HCO2,1040.834,994.8286,832.7758,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t29:1/24:2)+HCO2,1038.818,992.813,830.7601,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t29:1/25:0)+HCO2,1056.865,1010.86,848.8071,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t29:1/25:1)+HCO2,1054.85,1008.844,846.7914,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t29:1/26:0)+HCO2,1070.881,1024.876,862.8228,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t29:1/26:1)+HCO2,1068.865,1022.86,860.8071,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t29:1/26:2)+HCO2,1066.85,1020.844,858.7914,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t29:1/27:0)+HCO2,1084.897,1038.891,876.8384,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t29:1/27:1)+HCO2,1082.881,1036.876,874.8228,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t29:1/28:0)+HCO2,1098.912,1052.907,890.8541,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t29:1/28:1)+HCO2,1096.897,1050.891,888.8384,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t29:1/28:2)+HCO2,1094.881,1048.876,886.8228,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t29:1/29:0)+HCO2,1112.928,1066.922,904.8697,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t29:1/29:1)+HCO2,1110.912,1064.907,902.8541,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t29:1/30:0)+HCO2,1126.944,1080.938,918.8854,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t29:1/30:1)+HCO2,1124.928,1078.922,916.8697,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t29:1/30:2)+HCO2,1122.912,1076.907,914.8541,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t29:1/31:0)+HCO2,1140.959,1094.954,932.901,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t29:1/31:1)+HCO2,1138.944,1092.938,930.8854,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t29:1/32:0)+HCO2,1154.975,1108.969,946.9166,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t29:1/32:1)+HCO2,1152.959,1106.954,944.901,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t29:1/32:2)+HCO2,1150.944,1104.938,942.8854,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t29:1/33:0)+HCO2,1168.991,1122.985,960.9323,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t29:1/33:1)+HCO2,1166.975,1120.969,958.9166,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t29:1/34:0)+HCO2,1183.006,1137.001,974.9479,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t29:1/34:1)+HCO2,1180.991,1134.985,972.9323,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t29:1/34:2)+HCO2,1178.975,1132.969,970.9166,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t29:1/35:0)+HCO2,1197.022,1151.016,988.9636,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t29:1/35:1)+HCO2,1195.006,1149.001,986.9479,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t29:1/36:0)+HCO2,1211.038,1165.032,1002.979,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t29:1/36:1)+HCO2,1209.022,1163.016,1000.964,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t29:1/36:2)+HCO2,1207.006,1161.001,998.9479,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t29:1/38:0)+HCO2,1239.069,1193.063,1031.01,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t29:1/38:1)+HCO2,1237.053,1191.048,1028.995,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t29:1/38:2)+HCO2,1235.038,1189.032,1026.979,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t29:1/40:0)+HCO2,1267.1,1221.095,1059.042,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t29:1/40:1)+HCO2,1265.084,1219.079,1057.026,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t29:1/40:2)+HCO2,1263.069,1217.063,1055.01,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t29:1/42:0)+HCO2,1295.131,1249.126,1087.073,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t29:1/42:1)+HCO2,1293.116,1247.11,1085.057,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t29:1/42:2)+HCO2,1291.1,1245.095,1083.042,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t29:2/12:0)+HCO2,872.6463,826.6408,664.588,270.2064,240.1958,215.1653,179.0556,169.1598
