Plasmanyl-PC,[M+H]+,MH-PC,NL_sn1_ether,NL_sn1_59,NL_sn2_acyl,sn2_NL_H2O,LPC_T2_H,RCOO+58_T2,RCO_T2,PC_Head
Plasmanyl-PC(O-18:1/22:1)+H,828.6841576,645.6181176,562.4232926,503.3497926,508.3762776,490.3657176,578.41809,395.35203,321.3158,184.07332
Plasmanyl-PC(O-18:1/22:2)+H,826.6684576,643.6024176,560.4075926,501.3340926,508.3762776,490.3657176,576.40239,393.33633,319.3001,184.07332
Plasmanyl-PC(O-18:1/22:3)+H,824.6528576,641.5868176,558.3919926,499.3184926,508.3762776,490.3657176,574.38679,391.32073,317.2845,184.07332
Plasmanyl-PC(O-18:1/22:4)+H,822.6371576,639.5711176,556.3762926,497.3027926,508.3762776,490.3657176,572.37109,389.30503,315.2688,184.07332
Plasmanyl-PC(O-18:1/22:5)+H,820.6215576,637.5555176,554.3606926,495.2871926,508.3762776,490.3657176,570.35549,387.28943,313.2532,184.07332
Plasmanyl-PC(O-18:1/22:6)+H,818.6058576,635.5398176,552.3449926,493.2714926,508.3762776,490.3657176,568.33979,385.27373,311.2375,184.07332
Plasmanyl-PC(O-18:1/23:0)+H,844.7154576,661.6494176,578.4545926,519.3810926,508.3762776,490.3657176,594.44939,411.38333,337.3471,184.07332
Plasmanyl-PC(O-18:1/24:0)+H,858.7310576,675.6650176,592.4701926,533.3966926,508.3762776,490.3657176,608.46499,425.39893,351.3627,184.07332
Plasmanyl-PC(O-18:1/24:1)+H,856.7154576,673.6494176,590.4545926,531.3810926,508.3762776,490.3657176,606.44939,423.38333,349.3471,184.07332
Plasmanyl-PC(O-18:1/25:0)+H,872.7467576,689.6807176,606.4858926,547.4123926,508.3762776,490.3657176,622.48069,439.41463,365.3784,184.07332
Plasmanyl-PC(O-18:1/26:0)+H,886.7623576,703.6963176,620.5014926,561.4279926,508.3762776,490.3657176,636.49629,453.43023,379.394,184.07332
Plasmanyl-PC(O-18:1/8:0)+H,634.4806576,451.4146176,368.2197926,309.1462926,508.3762776,490.3657176,384.21459,201.14853,127.1123,184.07332
Plasmanyl-PC(O-20:0/10:0)+H,692.5588576,509.4928176,396.2510926,337.1775926,538.4231776,520.4126176,412.24589,229.17983,155.1436,184.07332
Plasmanyl-PC(O-20:0/12:0)+H,720.5901576,537.5241176,424.2823926,365.2088926,538.4231776,520.4126176,440.27719,257.21113,183.1749,184.07332
Plasmanyl-PC(O-20:0/13:0)+H,734.6058576,551.5398176,438.2980926,379.2245926,538.4231776,520.4126176,454.29289,271.22683,197.1906,184.07332
Plasmanyl-PC(O-20:0/14:0)+H,748.6214576,565.5554176,452.3136926,393.2401926,538.4231776,520.4126176,468.30849,285.24243,211.2062,184.07332
Plasmanyl-PC(O-20:0/14:1)+H,746.6058576,563.5398176,450.2980926,391.2245926,538.4231776,520.4126176,466.29289,283.22683,209.1906,184.07332
Plasmanyl-PC(O-20:0/15:0)+H,762.6371576,579.5711176,466.3293926,407.2558926,538.4231776,520.4126176,482.32419,299.25813,225.2219,184.07332
Plasmanyl-PC(O-20:0/15:1)+H,760.6214576,577.5554176,464.3136926,405.2401926,538.4231776,520.4126176,480.30849,297.24243,223.2062,184.07332
Plasmanyl-PC(O-20:0/16:0)+H,776.6527576,593.5867176,480.3449926,421.2714926,538.4231776,520.4126176,496.33979,313.27373,239.2375,184.07332
Plasmanyl-PC(O-20:0/16:1)+H,774.6371576,591.5711176,478.3293926,419.2558926,538.4231776,520.4126176,494.32419,311.25813,237.2219,184.07332
Plasmanyl-PC(O-20:0/17:0)+H,790.6684576,607.6024176,494.3606926,435.2871926,538.4231776,520.4126176,510.35549,327.28943,253.2532,184.07332
Plasmanyl-PC(O-20:0/17:1)+H,788.6527576,605.5867176,492.3449926,433.2714926,538.4231776,520.4126176,508.33979,325.27373,251.2375,184.07332
Plasmanyl-PC(O-20:0/17:2)+H,786.6371576,603.5711176,490.3293926,431.2558926,538.4231776,520.4126176,506.32419,323.25813,249.2219,184.07332
Plasmanyl-PC(O-20:0/18:0)+H,804.6840576,621.6180176,508.3762926,449.3027926,538.4231776,520.4126176,524.37109,341.30503,267.2688,184.07332
Plasmanyl-PC(O-20:0/18:1)+H,802.6684576,619.6024176,506.3606926,447.2871926,538.4231776,520.4126176,522.35549,339.28943,265.2532,184.07332
Plasmanyl-PC(O-20:0/18:2)+H,800.6527576,617.5867176,504.3449926,445.2714926,538.4231776,520.4126176,520.33979,337.27373,263.2375,184.07332
Plasmanyl-PC(O-20:0/18:3)+H,798.6371576,615.5711176,502.3293926,443.2558926,538.4231776,520.4126176,518.32419,335.25813,261.2219,184.07332
