Cer_AP,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t18:0/21:4)-H,632.52595,388.28515,333.24405,287.23855,225.22185
Cer_AP(t18:0/22:0)-H,654.60415,410.36345,355.32235,309.31685,225.22185
Cer_AP(t18:0/22:1)-H,652.58855,408.34775,353.30665,307.30115,225.22185
Cer_AP(t18:0/22:2)-H,650.57285,406.33215,351.29105,305.28555,225.22185
Cer_AP(t18:0/22:3)-H,648.55725,404.31645,349.27535,303.26985,225.22185
Cer_AP(t18:0/22:4)-H,646.54165,402.30085,347.25975,301.25425,225.22185
Cer_AP(t18:0/23:0)-H,668.61985,424.37905,369.33795,323.33245,225.22185
Cer_AP(t18:0/23:1)-H,666.60415,422.36345,367.32235,321.31685,225.22185
Cer_AP(t18:0/23:2)-H,664.58855,420.34775,365.30665,319.30115,225.22185
Cer_AP(t18:0/23:3)-H,662.57285,418.33215,363.29105,317.28555,225.22185
Cer_AP(t18:0/23:4)-H,660.55725,416.31645,361.27535,315.26985,225.22185
Cer_AP(t18:0/24:0)-H,682.63545,438.39475,383.35365,337.34815,225.22185
Cer_AP(t18:0/24:1)-H,680.61985,436.37905,381.33795,335.33245,225.22185
Cer_AP(t18:0/24:2)-H,678.60415,434.36345,379.32235,333.31685,225.22185
Cer_AP(t18:0/24:3)-H,676.58855,432.34775,377.30665,331.30115,225.22185
Cer_AP(t18:0/24:4)-H,674.57285,430.33215,375.29105,329.28555,225.22185
Cer_AP(t18:0/25:0)-H,696.65115,452.41045,397.36925,351.36385,225.22185
Cer_AP(t18:0/25:1)-H,694.63545,450.39475,395.35365,349.34815,225.22185
Cer_AP(t18:0/25:2)-H,692.61985,448.37905,393.33795,347.33245,225.22185
Cer_AP(t18:0/25:3)-H,690.60415,446.36345,391.32235,345.31685,225.22185
Cer_AP(t18:0/25:4)-H,688.58855,444.34775,389.30665,343.30115,225.22185
Cer_AP(t18:0/26:0)-H,710.66685,466.42605,411.38495,365.37945,225.22185
Cer_AP(t18:0/26:1)-H,708.65115,464.41045,409.36925,363.36385,225.22185
Cer_AP(t18:0/26:2)-H,706.63545,462.39475,407.35365,361.34815,225.22185
Cer_AP(t18:0/26:3)-H,704.61985,460.37905,405.33795,359.33245,225.22185
Cer_AP(t18:0/26:4)-H,702.60415,458.36345,403.32235,357.31685,225.22185
Cer_AP(t18:0/27:0)-H,724.68245,480.44165,425.40055,379.39505,225.22185
Cer_AP(t18:0/27:1)-H,722.66685,478.42605,423.38495,377.37945,225.22185
Cer_AP(t18:0/27:2)-H,720.65115,476.41045,421.36925,375.36385,225.22185
Cer_AP(t18:0/27:3)-H,718.63545,474.39475,419.35365,373.34815,225.22185
Cer_AP(t18:0/27:4)-H,716.61985,472.37905,417.33795,371.33245,225.22185
Cer_AP(t18:0/28:0)-H,738.69815,494.45735,439.41625,393.41075,225.22185
Cer_AP(t18:0/28:1)-H,736.68245,492.44165,437.40055,391.39505,225.22185
Cer_AP(t18:0/28:2)-H,734.66685,490.42605,435.38495,389.37945,225.22185
Cer_AP(t18:0/28:3)-H,732.65115,488.41045,433.36925,387.36385,225.22185
Cer_AP(t18:0/28:4)-H,730.63545,486.39475,431.35365,385.34815,225.22185
Cer_AP(t18:0/29:0)-H,752.71375,508.47295,453.43185,407.42635,225.22185
Cer_AP(t18:0/29:1)-H,750.69815,506.45735,451.41625,405.41075,225.22185
Cer_AP(t18:0/29:2)-H,748.68245,504.44165,449.40055,403.39505,225.22185
Cer_AP(t18:0/29:3)-H,746.66685,502.42605,447.38495,401.37945,225.22185
Cer_AP(t18:0/29:4)-H,744.65115,500.41045,445.36925,399.36385,225.22185
Cer_AP(t18:0/30:0)-H,766.72945,522.48865,467.44755,421.44205,225.22185
Cer_AP(t18:0/30:1)-H,764.71375,520.47295,465.43185,419.42635,225.22185
Cer_AP(t18:0/30:2)-H,762.69815,518.45735,463.41625,417.41075,225.22185
Cer_AP(t18:0/30:3)-H,760.68245,516.44175,461.40055,415.39505,225.22185
Cer_AP(t18:0/30:4)-H,758.66685,514.42605,459.38495,413.37945,225.22185
Cer_AP(t18:0/31:0)-H,780.74505,536.50425,481.46315,435.45775,225.22185
Cer_AP(t18:0/31:1)-H,778.72945,534.48865,479.44755,433.44205,225.22185
