SM,[M+HCO2]-,M-CH3,FA-H,(P-Cho)-CH3-H
SM(d16:0/15:1)+HCO2,705.5188,645.493,239.2016,168.0431
SM(d16:0/16:0)+HCO2,721.5501,661.5243,255.2329,168.0431
SM(d16:0/16:1)+HCO2,719.5345,659.5087,253.2173,168.0431
SM(d16:0/17:0)+HCO2,735.5658,675.54,269.2486,168.0431
SM(d16:0/17:1)+HCO2,733.5501,673.5243,267.2329,168.0431
SM(d16:0/17:2)+HCO2,731.5345,671.5087,265.2173,168.0431
SM(d16:0/18:0)+HCO2,749.5814,689.5556,283.2642,168.0431
SM(d16:0/18:1)+HCO2,747.5658,687.54,281.2486,168.0431
SM(d16:0/18:2)+HCO2,745.5501,685.5243,279.2329,168.0431
SM(d16:0/18:3)+HCO2,743.5345,683.5087,277.2173,168.0431
SM(d16:0/18:4)+HCO2,741.5188,681.493,275.2016,168.0431
SM(d16:0/19:0)+HCO2,763.5971,703.5713,297.2799,168.0431
SM(d16:0/20:0)+HCO2,777.6127,717.5869,311.2955,168.0431
SM(d16:0/20:1)+HCO2,775.5971,715.5713,309.2799,168.0431
SM(d16:0/20:2)+HCO2,773.5814,713.5556,307.2642,168.0431
SM(d16:0/20:3)+HCO2,771.5658,711.54,305.2486,168.0431
SM(d16:0/20:4)+HCO2,769.5501,709.5243,303.2329,168.0431
SM(d16:0/20:5)+HCO2,767.5345,707.5087,301.2173,168.0431
SM(d16:0/21:0)+HCO2,791.6284,731.6026,325.3112,168.0431
SM(d16:0/22:0)+HCO2,805.644,745.6182,339.3268,168.0431
SM(d16:0/22:1)+HCO2,803.6284,743.6026,337.3112,168.0431
SM(d16:0/22:2)+HCO2,801.6127,741.5869,335.2955,168.0431
SM(d16:0/22:3)+HCO2,799.5971,739.5713,333.2799,168.0431
SM(d16:0/22:4)+HCO2,797.5814,737.5556,331.2642,168.0431
SM(d16:0/22:5)+HCO2,795.5658,735.54,329.2486,168.0431
SM(d16:0/22:6)+HCO2,793.5501,733.5243,327.2329,168.0431
SM(d16:0/23:0)+HCO2,819.6597,759.6339,353.3425,168.0431
SM(d16:0/24:0)+HCO2,833.6753,773.6495,367.3581,168.0431
SM(d16:0/24:1)+HCO2,831.6597,771.6339,365.3425,168.0431
SM(d16:0/25:0)+HCO2,847.691,787.6652,381.3738,168.0431
SM(d16:0/26:0)+HCO2,861.7066,801.6808,395.3894,168.0431
SM(d16:0/8:0)+HCO2,609.4249,549.3991,143.1077,168.0431
SM(d16:1/10:0)+HCO2,635.4406,575.4148,171.139,168.0431
SM(d16:1/12:0)+HCO2,663.4719,603.4461,199.1703,168.0431
SM(d16:1/13:0)+HCO2,677.4876,617.4618,213.186,168.0431
SM(d16:1/14:0)+HCO2,691.5032,631.4774,227.2016,168.0431
SM(d16:1/14:1)+HCO2,689.4876,629.4618,225.186,168.0431
SM(d16:1/15:0)+HCO2,705.5189,645.4931,241.2173,168.0431
SM(d16:1/15:1)+HCO2,703.5032,643.4774,239.2016,168.0431
SM(d16:1/16:0)+HCO2,719.5345,659.5087,255.2329,168.0431
SM(d16:1/16:1)+HCO2,717.5189,657.4931,253.2173,168.0431
SM(d16:1/17:0)+HCO2,733.5502,673.5244,269.2486,168.0431
SM(d16:1/17:1)+HCO2,731.5345,671.5087,267.2329,168.0431
SM(d16:1/17:2)+HCO2,729.5189,669.4931,265.2173,168.0431
SM(d16:1/18:0)+HCO2,747.5658,687.54,283.2642,168.0431
SM(d16:1/18:1)+HCO2,745.5502,685.5244,281.2486,168.0431
SM(d16:1/18:2)+HCO2,743.5345,683.5087,279.2329,168.0431
SM(d16:1/18:3)+HCO2,741.5189,681.4931,277.2173,168.0431
SM(d16:1/18:4)+HCO2,739.5032,679.4774,275.2016,168.0431
SM(d16:1/19:0)+HCO2,761.5815,701.5557,297.2799,168.0431
SM(d16:1/20:0)+HCO2,775.5971,715.5713,311.2955,168.0431
SM(d16:1/20:1)+HCO2,773.5815,713.5557,309.2799,168.0431
SM(d16:1/20:2)+HCO2,771.5658,711.54,307.2642,168.0431
SM(d16:1/20:3)+HCO2,769.5502,709.5244,305.2486,168.0431
SM(d16:1/20:4)+HCO2,767.5345,707.5087,303.2329,168.0431
SM(d16:1/20:5)+HCO2,765.5189,705.4931,301.2173,168.0431
SM(d16:1/21:0)+HCO2,789.6128,729.587,325.3112,168.0431
SM(d16:1/22:0)+HCO2,803.6284,743.6026,339.3268,168.0431
SM(d16:1/22:1)+HCO2,801.6128,741.587,337.3112,168.0431
SM(d16:1/22:2)+HCO2,799.5971,739.5713,335.2955,168.0431
SM(d16:1/22:3)+HCO2,797.5815,737.5557,333.2799,168.0431
SM(d16:1/22:4)+HCO2,795.5658,735.54,331.2642,168.0431
SM(d16:1/22:5)+HCO2,793.5502,733.5244,329.2486,168.0431
SM(d16:1/22:6)+HCO2,791.5345,731.5087,327.2329,168.0431
SM(d16:1/23:0)+HCO2,817.6441,757.6183,353.3425,168.0431
SM(d16:1/24:0)+HCO2,831.6597,771.6339,367.3581,168.0431
SM(d16:1/24:1)+HCO2,829.6441,769.6183,365.3425,168.0431
SM(d16:1/25:0)+HCO2,845.6754,785.6496,381.3738,168.0431
SM(d16:1/26:0)+HCO2,859.691,799.6652,395.3894,168.0431
SM(d16:1/8:0)+HCO2,607.4093,547.3835,143.1077,168.0431
SM(d17:0/10:0)+HCO2,651.4719,591.4461,171.139,168.0431
SM(d17:0/12:0)+HCO2,679.5032,619.4774,199.1703,168.0431
SM(d17:0/13:0)+HCO2,693.5189,633.4931,213.186,168.0431
SM(d17:0/14:0)+HCO2,707.5345,647.5087,227.2016,168.0431
SM(d17:0/14:1)+HCO2,705.5189,645.4931,225.186,168.0431
SM(d17:0/15:0)+HCO2,721.5502,661.5244,241.2173,168.0431
SM(d17:0/15:1)+HCO2,719.5345,659.5087,239.2016,168.0431
SM(d17:0/16:0)+HCO2,735.5658,675.54,255.2329,168.0431
SM(d17:0/16:1)+HCO2,733.5502,673.5244,253.2173,168.0431
SM(d17:0/17:0)+HCO2,749.5815,689.5557,269.2486,168.0431
SM(d17:0/17:1)+HCO2,747.5658,687.54,267.2329,168.0431
SM(d17:0/17:2)+HCO2,745.5502,685.5244,265.2173,168.0431
SM(d17:0/18:0)+HCO2,763.5971,703.5713,283.2642,168.0431
SM(d17:0/18:1)+HCO2,761.5815,701.5557,281.2486,168.0431
SM(d17:0/18:2)+HCO2,759.5658,699.54,279.2329,168.0431
SM(d17:0/18:3)+HCO2,757.5502,697.5244,277.2173,168.0431
SM(d17:0/18:4)+HCO2,755.5345,695.5087,275.2016,168.0431
SM(d17:0/19:0)+HCO2,777.6128,717.587,297.2799,168.0431
SM(d17:0/20:0)+HCO2,791.6284,731.6026,311.2955,168.0431
SM(d17:0/20:1)+HCO2,789.6128,729.587,309.2799,168.0431
SM(d17:0/20:2)+HCO2,787.5971,727.5713,307.2642,168.0431
