PE,[M-H]-,NL_T1Ketene&serene,NL_T2Ketene&serene,NL_T1RCOOH,NL_T2RCOOH,T1_RCOO-,T2_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,EthanolaminePhosphate,EthanolaminePhosphate_NLH2O
PE(14:0_15:0)-H,648.46102,438.26265,424.24695,420.25209,406.23639,227.20165,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_15:1)-H,646.44532,436.24695,424.24695,418.23639,406.23639,227.20165,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_16:0)-H,662.47662,452.27825,424.24695,434.26769,406.23639,227.20165,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_16:1)-H,660.46102,450.26265,424.24695,432.25209,406.23639,227.20165,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_17:0)-H,676.49232,466.29395,424.24695,448.28339,406.23639,227.20165,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_17:1)-H,674.47662,464.27825,424.24695,446.26769,406.23639,227.20165,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_17:2)-H,672.46102,462.26265,424.24695,444.25209,406.23639,227.20165,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_18:0)-H,690.50792,480.30955,424.24695,462.29899,406.23639,227.20165,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_18:1)-H,688.49232,478.29395,424.24695,460.28339,406.23639,227.20165,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_18:2)-H,686.47662,476.27825,424.24695,458.26769,406.23639,227.20165,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_18:3)-H,684.46102,474.26265,424.24695,456.25209,406.23639,227.20165,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_18:4)-H,682.44532,472.24695,424.24695,454.23639,406.23639,227.20165,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_19:0)-H,704.52362,494.32525,424.24695,476.31469,406.23639,227.20165,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_20:0)-H,718.53922,508.34085,424.24695,490.33029,406.23639,227.20165,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_20:1)-H,716.52362,506.32525,424.24695,488.31469,406.23639,227.20165,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_20:2)-H,714.50792,504.30955,424.24695,486.29899,406.23639,227.20165,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_20:3)-H,712.49232,502.29395,424.24695,484.28339,406.23639,227.20165,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_20:4)-H,710.47662,500.27825,424.24695,482.26769,406.23639,227.20165,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_20:5)-H,708.46102,498.26265,424.24695,480.25209,406.23639,227.20165,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_21:0)-H,732.55492,522.35655,424.24695,504.34599,406.23639,227.20165,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_22:0)-H,746.57052,536.37215,424.24695,518.36159,406.23639,227.20165,339.32685,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_22:1)-H,744.55492,534.35655,424.24695,516.34599,406.23639,227.20165,337.31125,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_22:2)-H,742.53922,532.34085,424.24695,514.33029,406.23639,227.20165,335.29555,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_22:3)-H,740.52362,530.32525,424.24695,512.31469,406.23639,227.20165,333.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_22:4)-H,738.50792,528.30955,424.24695,510.29899,406.23639,227.20165,331.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_22:5)-H,736.49232,526.29395,424.24695,508.28339,406.23639,227.20165,329.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_22:6)-H,734.47662,524.27825,424.24695,506.26769,406.23639,227.20165,327.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_23:0)-H,760.58622,550.38785,424.24695,532.37729,406.23639,227.20165,353.34255,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_24:0)-H,774.60182,564.40345,424.24695,546.39289,406.23639,227.20165,367.35815,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_24:1)-H,772.58622,562.38785,424.24695,544.37729,406.23639,227.20165,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_25:0)-H,788.61752,578.41915,424.24695,560.40859,406.23639,227.20165,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_26:0)-H,802.63312,592.43475,424.24695,574.42419,406.23639,227.20165,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:1_14:1)-H,630.41412,422.23135,422.23135,404.22079,404.22079,225.18605,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
