Plasmenyl-PS,[M-H]-,M-Serine,NL_T2Ketene&serene,NL_T2RCOOH,T2_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmenyl-PS(P-20:1/22:1)-H,854.62811,767.59609,447.28812,429.27756,337.31125,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:2)-H,852.61241,765.58039,447.28812,429.27756,335.29555,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:3)-H,850.59681,763.56479,447.28812,429.27756,333.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:4)-H,848.58111,761.54909,447.28812,429.27756,331.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:5)-H,846.56551,759.53349,447.28812,429.27756,329.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:6)-H,844.54981,757.51779,447.28812,429.27756,327.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/23:0)-H,870.65941,783.62739,447.28812,429.27756,353.34255,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/24:0)-H,884.67501,797.64299,447.28812,429.27756,367.35815,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/24:1)-H,882.65941,795.62739,447.28812,429.27756,365.34255,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/25:0)-H,898.69071,811.65869,447.28812,429.27756,381.37385,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/26:0)-H,912.70631,825.67429,447.28812,429.27756,395.38945,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/8:0)-H,660.42461,573.39259,447.28812,429.27756,143.10775,152.99586,96.96964,78.95852
