PE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
PE(14:0_20:5)+Na,732.4575178,689.4153178,591.4384235,461.2065378,387.1908378,164.00888
PE(14:0_21:0)+Na,756.5514178,713.5092178,615.5323235,485.3004378,387.1908378,164.00888
PE(14:0_22:0)+Na,770.5670178,727.5248178,629.5479235,499.3160378,387.1908378,164.00888
PE(14:0_22:1)+Na,768.5514178,725.5092178,627.5323235,497.3004378,387.1908378,164.00888
PE(14:0_22:2)+Na,766.5357178,723.4935178,625.5166235,495.2847378,387.1908378,164.00888
PE(14:0_22:3)+Na,764.5201178,721.4779178,623.5010235,493.2691378,387.1908378,164.00888
PE(14:0_22:4)+Na,762.5044178,719.4622178,621.4853235,491.2534378,387.1908378,164.00888
PE(14:0_22:5)+Na,760.4888178,717.4466178,619.4697235,489.2378378,387.1908378,164.00888
PE(14:0_22:6)+Na,758.4731178,715.4309178,617.4540235,487.2221378,387.1908378,164.00888
PE(14:0_23:0)+Na,784.5827178,741.5405178,643.5636235,513.3317378,387.1908378,164.00888
PE(14:0_24:0)+Na,798.5983178,755.5561178,657.5792235,527.3473378,387.1908378,164.00888
PE(14:0_24:1)+Na,796.5827178,753.5405178,655.5636235,525.3317378,387.1908378,164.00888
PE(14:0_25:0)+Na,812.6140178,769.5718178,671.5949235,541.3630378,387.1908378,164.00888
PE(14:0_26:0)+Na,826.6296178,783.5874178,685.6105235,555.3786378,387.1908378,164.00888
PE(14:1_14:1)+Na,654.4106178,611.3684178,513.3915235,385.1752378,385.1752378,164.00888
PE(14:1_15:0)+Na,670.4419178,627.3997178,529.4228235,401.2065378,385.1752378,164.00888
PE(14:1_15:1)+Na,668.4262178,625.3840178,527.4071235,399.1908378,385.1752378,164.00888
PE(14:1_16:0)+Na,684.4575178,641.4153178,543.4384235,415.2221378,385.1752378,164.00888
PE(14:1_16:1)+Na,682.4419178,639.3997178,541.4228235,413.2065378,385.1752378,164.00888
PE(14:1_17:0)+Na,698.4732178,655.4310178,557.4541235,429.2378378,385.1752378,164.00888
PE(14:1_17:1)+Na,696.4575178,653.4153178,555.4384235,427.2221378,385.1752378,164.00888
