PA,[M+H]+,NL_head,NL_T1_RCOOH,NL_T2_RCOOH,T1_RCO+,T2_RCO+
PA(13:0_22:6)+H,679.4334,581.45649,385.27374,271.22684,197.19005,311.23695
PA(13:0_23:0)+H,705.543,607.56609,411.38334,271.22684,197.19005,337.34655
PA(13:0_24:0)+H,719.5586,621.58169,425.39894,271.22684,197.19005,351.36215
PA(13:0_24:1)+H,717.543,619.56609,423.38334,271.22684,197.19005,349.34655
PA(13:0_25:0)+H,733.5743,635.59739,439.41464,271.22684,197.19005,365.37785
PA(13:0_26:0)+H,747.5899,649.61299,453.43024,271.22684,197.19005,379.39345
PA(14:0_14:0)+H,593.4177,495.44079,285.24244,285.24244,211.20565,211.20565
PA(14:0_14:1)+H,591.4021,493.42519,283.22684,285.24244,211.20565,209.19005
PA(14:0_15:0)+H,607.4334,509.45649,299.25814,285.24244,211.20565,225.22135
PA(14:0_15:1)+H,605.4177,507.44079,297.24244,285.24244,211.20565,223.20565
PA(14:0_16:0)+H,621.449,523.47209,313.27374,285.24244,211.20565,239.23695
PA(14:0_16:1)+H,619.4334,521.45649,311.25814,285.24244,211.20565,237.22135
PA(14:0_17:0)+H,635.4647,537.48779,327.28944,285.24244,211.20565,253.25265
PA(14:0_17:1)+H,633.449,535.47209,325.27374,285.24244,211.20565,251.23695
PA(14:0_17:2)+H,631.4334,533.45649,323.25814,285.24244,211.20565,249.22135
PA(14:0_18:0)+H,649.4803,551.50339,341.30504,285.24244,211.20565,267.26825
PA(14:0_18:1)+H,647.4647,549.48779,339.28944,285.24244,211.20565,265.25265
PA(14:0_18:2)+H,645.449,547.47209,337.27374,285.24244,211.20565,263.23695
PA(14:0_18:3)+H,643.4334,545.45649,335.25814,285.24244,211.20565,261.22135
PA(14:0_18:4)+H,641.4177,543.44079,333.24244,285.24244,211.20565,259.20565
PA(14:0_19:0)+H,663.496,565.51909,355.32074,285.24244,211.20565,281.28395
PA(14:0_20:0)+H,677.5116,579.53469,369.33634,285.24244,211.20565,295.29955
PA(14:0_20:1)+H,675.496,577.51909,367.32074,285.24244,211.20565,293.28395
PA(14:0_20:2)+H,673.4803,575.50339,365.30504,285.24244,211.20565,291.26825
PA(14:0_20:3)+H,671.4647,573.48779,363.28944,285.24244,211.20565,289.25265
PA(14:0_20:4)+H,669.449,571.47209,361.27374,285.24244,211.20565,287.23695
PA(14:0_20:5)+H,667.4334,569.45649,359.25814,285.24244,211.20565,285.22135
PA(14:0_21:0)+H,691.5273,593.55039,383.35204,285.24244,211.20565,309.31525
PA(14:0_22:0)+H,705.5429,607.56599,397.36764,285.24244,211.20565,323.33085
PA(14:0_22:1)+H,703.5273,605.55039,395.35204,285.24244,211.20565,321.31525
PA(14:0_22:2)+H,701.5116,603.53469,393.33634,285.24244,211.20565,319.29955
PA(14:0_22:3)+H,699.496,601.51909,391.32074,285.24244,211.20565,317.28395
PA(14:0_22:4)+H,697.4803,599.50339,389.30504,285.24244,211.20565,315.26825
PA(14:0_22:5)+H,695.4647,597.48779,387.28944,285.24244,211.20565,313.25265
PA(14:0_22:6)+H,693.449,595.47209,385.27374,285.24244,211.20565,311.23695
PA(14:0_23:0)+H,719.5586,621.58169,411.38334,285.24244,211.20565,337.34655
PA(14:0_24:0)+H,733.5742,635.59729,425.39894,285.24244,211.20565,351.36215
PA(14:0_24:1)+H,731.5586,633.58169,423.38334,285.24244,211.20565,349.34655
PA(14:0_25:0)+H,747.5899,649.61299,439.41464,285.24244,211.20565,365.37785
PA(14:0_26:0)+H,761.6055,663.62859,453.43024,285.24244,211.20565,379.39345
PA(14:1_14:1)+H,589.3865,491.40959,283.22684,283.22684,209.19005,209.19005
PA(14:1_15:0)+H,605.4178,507.44089,299.25814,283.22684,209.19005,225.22135
PA(14:1_15:1)+H,603.4021,505.42519,297.24244,283.22684,209.19005,223.20565
PA(14:1_16:0)+H,619.4334,521.45649,313.27374,283.22684,209.19005,239.23695
PA(14:1_16:1)+H,617.4178,519.44089,311.25814,283.22684,209.19005,237.22135
PA(14:1_17:0)+H,633.4491,535.47219,327.28944,283.22684,209.19005,253.25265
PA(14:1_17:1)+H,631.4334,533.45649,325.27374,283.22684,209.19005,251.23695
PA(14:1_17:2)+H,629.4178,531.44089,323.25814,283.22684,209.19005,249.22135
PA(14:1_18:0)+H,647.4647,549.48779,341.30504,283.22684,209.19005,267.26825
PA(14:1_18:1)+H,645.4491,547.47219,339.28944,283.22684,209.19005,265.25265
