ether-TG,[M+NH4],NL R2COOH,NL R3COOH,RCO_2,RCO_3,RCO2+74.0368,RCO3+74.0368,RCO2+74-H2O,RCO3+74-H2O
plasmanyl-TG(O-16:0_10:0_22:1)+NH4,808.77535,619.60235,453.43015,155.14304,321.31524,229.1798364,395.3520364,211.1692714,377.3414714
plasmanyl-TG(O-16:0_10:0_22:2)+NH4,806.75965,617.58665,453.43015,155.14304,319.29954,229.1798364,393.3363364,211.1692714,375.3257714
plasmanyl-TG(O-16:0_10:0_22:3)+NH4,804.74405,615.57105,453.43015,155.14304,317.28394,229.1798364,391.3207364,211.1692714,373.3101714
plasmanyl-TG(O-16:0_10:0_22:4)+NH4,802.72835,613.55535,453.43015,155.14304,315.26824,229.1798364,389.3050364,211.1692714,371.2944714
plasmanyl-TG(O-16:0_10:0_22:5)+NH4,800.71275,611.53975,453.43015,155.14304,313.25264,229.1798364,387.2894364,211.1692714,369.2788714
plasmanyl-TG(O-16:0_10:0_22:6)+NH4,798.69705,609.52405,453.43015,155.14304,311.23694,229.1798364,385.2737364,211.1692714,367.2631714
plasmanyl-TG(O-16:0_10:0_23:0)+NH4,824.80665,635.63365,453.43015,155.14304,337.34654,229.1798364,411.3833364,211.1692714,393.3727714
plasmanyl-TG(O-16:0_10:0_24:0)+NH4,838.82225,649.64925,453.43015,155.14304,351.36214,229.1798364,425.3989364,211.1692714,407.3883714
plasmanyl-TG(O-16:0_10:0_24:1)+NH4,836.80665,647.63365,453.43015,155.14304,349.34654,229.1798364,423.3833364,211.1692714,405.3727714
plasmanyl-TG(O-16:0_10:0_25:0)+NH4,852.83795,663.66495,453.43015,155.14304,365.37784,229.1798364,439.4146364,211.1692714,421.4040714
plasmanyl-TG(O-16:0_10:0_26:0)+NH4,866.85355,677.68055,453.43015,155.14304,379.39344,229.1798364,453.4302364,211.1692714,435.4196714
plasmanyl-TG(O-16:0_12:0_12:0)+NH4,698.66575,481.46145,481.46145,183.17434,183.17434,257.2111364,257.2111364,239.2005714,239.2005714
plasmanyl-TG(O-16:0_12:0_13:0)+NH4,712.68145,495.47715,481.46145,183.17434,197.19004,257.2111364,271.2268364,239.2005714,253.2162714
plasmanyl-TG(O-16:0_12:0_14:0)+NH4,726.69705,509.49275,481.46145,183.17434,211.20564,257.2111364,285.2424364,239.2005714,267.2318714
plasmanyl-TG(O-16:0_12:0_14:1)+NH4,724.68145,507.47715,481.46145,183.17434,209.19004,257.2111364,283.2268364,239.2005714,265.2162714
plasmanyl-TG(O-16:0_12:0_15:0)+NH4,740.71275,523.50845,481.46145,183.17434,225.22134,257.2111364,299.2581364,239.2005714,281.2475714
plasmanyl-TG(O-16:0_12:0_15:1)+NH4,738.69705,521.49275,481.46145,183.17434,223.20564,257.2111364,297.2424364,239.2005714,279.2318714
plasmanyl-TG(O-16:0_12:0_16:0)+NH4,754.72835,537.52405,481.46145,183.17434,239.23694,257.2111364,313.2737364,239.2005714,295.2631714
plasmanyl-TG(O-16:0_12:0_16:1)+NH4,752.71275,535.50845,481.46145,183.17434,237.22134,257.2111364,311.2581364,239.2005714,293.2475714
plasmanyl-TG(O-16:0_12:0_17:0)+NH4,768.74405,551.53975,481.46145,183.17434,253.25264,257.2111364,327.2894364,239.2005714,309.2788714
plasmanyl-TG(O-16:0_12:0_17:1)+NH4,766.72835,549.52405,481.46145,183.17434,251.23694,257.2111364,325.2737364,239.2005714,307.2631714
plasmanyl-TG(O-16:0_12:0_17:2)+NH4,764.71275,547.50845,481.46145,183.17434,249.22134,257.2111364,323.2581364,239.2005714,305.2475714
plasmanyl-TG(O-16:0_12:0_18:0)+NH4,782.75965,565.55535,481.46145,183.17434,267.26824,257.2111364,341.3050364,239.2005714,323.2944714
plasmanyl-TG(O-16:0_12:0_18:1)+NH4,780.74405,563.53975,481.46145,183.17434,265.25264,257.2111364,339.2894364,239.2005714,321.2788714
plasmanyl-TG(O-16:0_12:0_18:2)+NH4,778.72835,561.52405,481.46145,183.17434,263.23694,257.2111364,337.2737364,239.2005714,319.2631714
plasmanyl-TG(O-16:0_12:0_18:3)+NH4,776.71275,559.50845,481.46145,183.17434,261.22134,257.2111364,335.2581364,239.2005714,317.2475714
plasmanyl-TG(O-16:0_12:0_18:4)+NH4,774.69705,557.49275,481.46145,183.17434,259.20564,257.2111364,333.2424364,239.2005714,315.2318714
plasmanyl-TG(O-16:0_12:0_19:0)+NH4,796.77535,579.57105,481.46145,183.17434,281.28394,257.2111364,355.3207364,239.2005714,337.3101714
plasmanyl-TG(O-16:0_12:0_20:0)+NH4,810.79095,593.58665,481.46145,183.17434,295.29954,257.2111364,369.3363364,239.2005714,351.3257714
plasmanyl-TG(O-16:0_12:0_20:1)+NH4,808.77535,591.57105,481.46145,183.17434,293.28394,257.2111364,367.3207364,239.2005714,349.3101714
plasmanyl-TG(O-16:0_12:0_20:2)+NH4,806.75965,589.55535,481.46145,183.17434,291.26824,257.2111364,365.3050364,239.2005714,347.2944714
plasmanyl-TG(O-16:0_12:0_20:3)+NH4,804.74405,587.53975,481.46145,183.17434,289.25264,257.2111364,363.2894364,239.2005714,345.2788714
plasmanyl-TG(O-16:0_12:0_20:4)+NH4,802.72835,585.52405,481.46145,183.17434,287.23694,257.2111364,361.2737364,239.2005714,343.2631714
plasmanyl-TG(O-16:0_12:0_20:5)+NH4,800.71275,583.50845,481.46145,183.17434,285.22134,257.2111364,359.2581364,239.2005714,341.2475714
plasmanyl-TG(O-16:0_12:0_21:0)+NH4,824.80665,607.60235,481.46145,183.17434,309.31524,257.2111364,383.3520364,239.2005714,365.3414714
plasmanyl-TG(O-16:0_12:0_22:0)+NH4,838.82225,621.61795,481.46145,183.17434,323.33084,257.2111364,397.3676364,239.2005714,379.3570714
plasmanyl-TG(O-16:0_12:0_22:1)+NH4,836.80665,619.60235,481.46145,183.17434,321.31524,257.2111364,395.3520364,239.2005714,377.3414714
plasmanyl-TG(O-16:0_12:0_22:2)+NH4,834.79095,617.58665,481.46145,183.17434,319.29954,257.2111364,393.3363364,239.2005714,375.3257714
plasmanyl-TG(O-16:0_12:0_22:3)+NH4,832.77535,615.57105,481.46145,183.17434,317.28394,257.2111364,391.3207364,239.2005714,373.3101714
plasmanyl-TG(O-16:0_12:0_22:4)+NH4,830.75965,613.55535,481.46145,183.17434,315.26824,257.2111364,389.3050364,239.2005714,371.2944714
plasmanyl-TG(O-16:0_12:0_22:5)+NH4,828.74405,611.53975,481.46145,183.17434,313.25264,257.2111364,387.2894364,239.2005714,369.2788714
plasmanyl-TG(O-16:0_12:0_22:6)+NH4,826.72835,609.52405,481.46145,183.17434,311.23694,257.2111364,385.2737364,239.2005714,367.2631714
plasmanyl-TG(O-16:0_12:0_23:0)+NH4,852.83795,635.63365,481.46145,183.17434,337.34654,257.2111364,411.3833364,239.2005714,393.3727714
plasmanyl-TG(O-16:0_12:0_24:0)+NH4,866.85355,649.64925,481.46145,183.17434,351.36214,257.2111364,425.3989364,239.2005714,407.3883714
plasmanyl-TG(O-16:0_12:0_24:1)+NH4,864.83795,647.63365,481.46145,183.17434,349.34654,257.2111364,423.3833364,239.2005714,405.3727714
plasmanyl-TG(O-16:0_12:0_25:0)+NH4,880.86925,663.66495,481.46145,183.17434,365.37784,257.2111364,439.4146364,239.2005714,421.4040714
plasmanyl-TG(O-16:0_12:0_26:0)+NH4,894.88485,677.68055,481.46145,183.17434,379.39344,257.2111364,453.4302364,239.2005714,435.4196714
plasmanyl-TG(O-16:0_13:0_13:0)+NH4,726.69715,495.47715,495.47715,197.19004,197.19004,271.2268364,271.2268364,253.2162714,253.2162714
plasmanyl-TG(O-16:0_13:0_14:0)+NH4,740.71275,509.49275,495.47715,197.19004,211.20564,271.2268364,285.2424364,253.2162714,267.2318714
plasmanyl-TG(O-16:0_13:0_14:1)+NH4,738.69715,507.47715,495.47715,197.19004,209.19004,271.2268364,283.2268364,253.2162714,265.2162714
plasmanyl-TG(O-16:0_13:0_15:0)+NH4,754.72845,523.50845,495.47715,197.19004,225.22134,271.2268364,299.2581364,253.2162714,281.2475714
plasmanyl-TG(O-16:0_13:0_15:1)+NH4,752.71275,521.49275,495.47715,197.19004,223.20564,271.2268364,297.2424364,253.2162714,279.2318714
plasmanyl-TG(O-16:0_13:0_16:0)+NH4,768.74405,537.52405,495.47715,197.19004,239.23694,271.2268364,313.2737364,253.2162714,295.2631714
plasmanyl-TG(O-16:0_13:0_16:1)+NH4,766.72845,535.50845,495.47715,197.19004,237.22134,271.2268364,311.2581364,253.2162714,293.2475714
plasmanyl-TG(O-16:0_13:0_17:0)+NH4,782.75975,551.53975,495.47715,197.19004,253.25264,271.2268364,327.2894364,253.2162714,309.2788714
plasmanyl-TG(O-16:0_13:0_17:1)+NH4,780.74405,549.52405,495.47715,197.19004,251.23694,271.2268364,325.2737364,253.2162714,307.2631714
plasmanyl-TG(O-16:0_13:0_17:2)+NH4,778.72845,547.50845,495.47715,197.19004,249.22134,271.2268364,323.2581364,253.2162714,305.2475714
plasmanyl-TG(O-16:0_13:0_18:0)+NH4,796.77535,565.55535,495.47715,197.19004,267.26824,271.2268364,341.3050364,253.2162714,323.2944714
plasmanyl-TG(O-16:0_13:0_18:1)+NH4,794.75975,563.53975,495.47715,197.19004,265.25264,271.2268364,339.2894364,253.2162714,321.2788714
plasmanyl-TG(O-16:0_13:0_18:2)+NH4,792.74405,561.52405,495.47715,197.19004,263.23694,271.2268364,337.2737364,253.2162714,319.2631714
plasmanyl-TG(O-16:0_13:0_18:3)+NH4,790.72845,559.50845,495.47715,197.19004,261.22134,271.2268364,335.2581364,253.2162714,317.2475714
plasmanyl-TG(O-16:0_13:0_18:4)+NH4,788.71275,557.49275,495.47715,197.19004,259.20564,271.2268364,333.2424364,253.2162714,315.2318714
