SQDG,[M+NH4]+,[M-SN1+H]+,[M-SN2+H]+,[M-C6H10O7S+H]+,[M-C6H10O7S-H2O+H]+,[M-C6H10O7S-SN1+H]+,[M-C6H10O7S-SN2+H]+,SN2,SN1
SQDG(14:1_16:2)+NH4,778.4775,535.2571,509.2415,535.4357,517.4251,309.2424,283.2267,235.2056,209.19
SQDG(14:1_16:3)+NH4,776.4619,533.2415,509.2415,533.42,515.4095,307.2267,283.2267,233.19,209.19
SQDG(14:1_16:4)+NH4,774.4462,531.2258,509.2415,531.4044,513.3939,305.2111,283.2267,231.1743,209.19
SQDG(17:0_14:1)+NH4,796.5245,509.2415,553.3041,553.4827,535.4721,283.2267,327.2894,209.19,253.2526
SQDG(14:1_17:1)+NH4,794.5089,551.2885,509.2415,551.467,533.4564,325.2737,283.2267,251.237,209.19
SQDG(14:1_17:2)+NH4,792.4932,549.2728,509.2415,549.4514,531.4408,323.2581,283.2267,249.2213,209.19
SQDG(18:0_14:1)+NH4,810.5401,509.2415,567.3198,567.4983,549.4877,283.2267,341.305,209.19,267.2682
SQDG(14:1_18:1)+NH4,808.5245,565.3041,509.2415,565.4827,547.4721,339.2894,283.2267,265.2526,209.19
SQDG(14:1_18:2)+NH4,806.5089,563.2885,509.2415,563.467,545.4564,337.2737,283.2267,263.2369,209.19
SQDG(14:1_18:3)+NH4,804.4932,561.2728,509.2415,561.4514,543.4408,335.2581,283.2267,261.2213,209.19
SQDG(14:1_18:4)+NH4,802.4775,559.2571,509.2415,559.4357,541.4251,333.2424,283.2267,259.2057,209.19
SQDG(14:1_18:5)+NH4,800.4619,557.2415,509.2415,557.42,539.4095,331.2267,283.2267,257.19,209.19
SQDG(19:0_14:1)+NH4,824.5558,509.2415,581.3354,581.514,563.5034,283.2267,355.3206,209.19,281.2839
SQDG(14:1_19:1)+NH4,822.5401,579.3198,509.2415,579.4983,561.4877,353.305,283.2267,279.2682,209.19
SQDG(14:1_19:2)+NH4,820.5245,577.3041,509.2415,577.4827,559.4721,351.2894,283.2267,277.2526,209.19
