OxLPE,[M+H]+,NL_head,NL_R1CO,R1CO+,R1COO+58,head
OxLPE(20:5(OOOO))+H,564.25691,423.2378,75.04407,349.20103,423.23781,215.02639
OxLPE(22:1(OOOO))+H,600.35081,459.3317,75.04407,385.29493,459.33171,216.02639
OxLPE(22:2(OOOO))+H,598.33511,457.316,75.04407,383.27923,457.31601,217.02639
OxLPE(22:3(OOOO))+H,596.31951,455.3004,75.04407,381.26363,455.30041,218.02639
OxLPE(22:4(OOOO))+H,594.30381,453.2847,75.04407,379.24793,453.28471,219.02639
OxLPE(22:5(OOOO))+H,592.28821,451.2691,75.04407,377.23233,451.26911,220.02639
OxLPE(22:6(OOOO))+H,590.27251,449.2534,75.04407,375.21663,449.25341,221.02639
OxLPE(24:1(OOOO))+H,628.38211,487.363,75.04407,413.32623,487.36301,222.02639
OxLPE(14:1(Ke))+H,438.22519,297.20608,75.04407,223.16931,297.20609,223.02639
OxLPE(15:1(Ke))+H,452.24079,311.22168,75.04407,237.18491,311.22169,224.02639
OxLPE(16:1(Ke))+H,466.25649,325.23738,75.04407,251.20061,325.23739,225.02639
OxLPE(17:1(Ke))+H,480.27209,339.25298,75.04407,265.21621,339.25299,226.02639
OxLPE(17:2(Ke))+H,478.25649,337.23738,75.04407,263.20061,337.23739,227.02639
OxLPE(18:1(Ke))+H,494.28779,353.26868,75.04407,279.23191,353.26869,228.02639
OxLPE(18:2(Ke))+H,492.27209,351.25298,75.04407,277.21621,351.25299,229.02639
OxLPE(18:3(Ke))+H,490.25649,349.23738,75.04407,275.20061,349.23739,230.02639
OxLPE(18:4(Ke))+H,488.24079,347.22168,75.04407,273.18491,347.22169,231.02639
OxLPE(20:1(Ke))+H,522.31909,381.29998,75.04407,307.26321,381.29999,232.02639
OxLPE(20:2(Ke))+H,520.30339,379.28428,75.04407,305.24751,379.28429,233.02639
OxLPE(20:3(Ke))+H,518.28779,377.26868,75.04407,303.23191,377.26869,234.02639
OxLPE(20:5(Ke))+H,514.25649,373.23738,75.04407,299.20061,373.23739,235.02639
OxLPE(22:1(Ke))+H,550.35039,409.33128,75.04407,335.29451,409.33129,236.02639
OxLPE(22:2(Ke))+H,548.33469,407.31558,75.04407,333.27881,407.31559,237.02639
OxLPE(22:3(Ke))+H,546.31909,405.29998,75.04407,331.26321,405.29999,238.02639
OxLPE(22:4(Ke))+H,544.30339,403.28428,75.04407,329.24751,403.28429,239.02639
OxLPE(22:5(Ke))+H,542.28779,401.26868,75.04407,327.23191,401.26869,240.02639
OxLPE(22:6(Ke))+H,540.27209,399.25298,75.04407,325.21621,399.25299,241.02639
OxLPE(24:1(Ke))+H,578.38169,437.36258,75.04407,363.32581,437.36259,242.02639
"OxLPE(14:1(Ke,OH))+H",454.22011,313.201,75.04407,239.16423,313.20101,243.02639
"OxLPE(15:1(Ke,OH))+H",468.23571,327.2166,75.04407,253.17983,327.21661,244.02639
"OxLPE(16:1(Ke,OH))+H",482.25141,341.2323,75.04407,267.19553,341.23231,245.02639
"OxLPE(17:1(Ke,OH))+H",496.26701,355.2479,75.04407,281.21113,355.24791,246.02639
"OxLPE(17:2(Ke,OH))+H",494.25141,353.2323,75.04407,279.19553,353.23231,247.02639
"OxLPE(18:1(Ke,OH))+H",510.28271,369.2636,75.04407,295.22683,369.26361,248.02639
"OxLPE(18:2(Ke,OH))+H",508.26701,367.2479,75.04407,293.21113,367.24791,249.02639
"OxLPE(18:3(Ke,OH))+H",506.25141,365.2323,75.04407,291.19553,365.23231,250.02639
"OxLPE(18:4(Ke,OH))+H",504.23571,363.2166,75.04407,289.17983,363.21661,251.02639
"OxLPE(20:1(Ke,OH))+H",538.31401,397.2949,75.04407,323.25813,397.29491,252.02639
"OxLPE(20:2(Ke,OH))+H",536.29831,395.2792,75.04407,321.24243,395.27921,253.02639
"OxLPE(20:3(Ke,OH))+H",534.28271,393.2636,75.04407,319.22683,393.26361,254.02639
"OxLPE(20:4(Ke,OH))+H",532.26701,391.2479,75.04407,317.21113,391.24791,255.02639
"OxLPE(20:5(Ke,OH))+H",530.25141,389.2323,75.04407,315.19553,389.23231,256.02639
"OxLPE(22:1(Ke,OH))+H",566.34531,425.3262,75.04407,351.28943,425.32621,257.02639
"OxLPE(22:2(Ke,OH))+H",564.32961,423.3105,75.04407,349.27373,423.31051,258.02639
"OxLPE(22:3(Ke,OH))+H",562.31401,421.2949,75.04407,347.25813,421.29491,259.02639
"OxLPE(22:4(Ke,OH))+H",560.29831,419.2792,75.04407,345.24243,419.27921,260.02639
"OxLPE(22:5(Ke,OH))+H",558.28271,417.2636,75.04407,343.22683,417.26361,261.02639
"OxLPE(22:6(Ke,OH))+H",556.26701,415.2479,75.04407,341.21113,415.24791,262.02639
"OxLPE(24:1(Ke,OH))+H",594.37661,453.3575,75.04407,379.32073,453.35751,263.02639
