GlcCer_AS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[M-Hex-H2O-H]-,[M-Hex-CH4O-H]-,[M-Hex-CH4O2-H]-,[M-Hex-CH6O3-H]-,[FAA+C2H5O-H]-,[FAA+C2H3O-H]-,[Sph-H]-,[FAA+C2H5O-H2O-H]-,[Sph-H2O-H]-,[FAA+C2H5O-2H2O-H]-,[FAA+O-H]-,[FAA-H]-,[Sph-CH2O-H]-,[Sph-H5NO-H]-,[FA-2H-H]-,[Sph-CH4O2-H]-,[Sph-C2H5NO-H]-,[Sph-C2H7NO-H]-,[FA+CH2O-H]-
GlcCer_AS(d16:1/21:4)+HCO2,794.54245,748.53695,586.48405,568.47355,554.45785,538.46295,520.45235,376.28625,374.27065,270.24445,358.27515,252.23385,340.26455,333.24405,332.23625,240.23385,235.20725,315.23355,222.22325,211.20725,209.19165,287.23855
GlcCer_AS(d16:1/22:0)+HCO2,816.62065,770.61515,608.56235,590.55175,576.53615,560.54115,542.53065,398.36455,396.34885,270.24445,380.35345,252.23385,362.34285,355.32235,354.31455,240.23385,235.20725,337.31175,222.22325,211.20725,209.19165,309.31685
GlcCer_AS(d16:1/22:1)+HCO2,814.60495,768.59945,606.54665,588.53615,574.52045,558.52555,540.51495,396.34885,394.33325,270.24445,378.33775,252.23385,360.32725,353.30665,352.29885,240.23385,235.20725,335.29615,222.22325,211.20725,209.19165,307.30115
GlcCer_AS(d16:1/22:2)+HCO2,812.58935,766.58385,604.53105,586.52045,572.50485,556.50985,538.49935,394.33325,392.31755,270.24445,376.32215,252.23385,358.31155,351.29105,350.28325,240.23385,235.20725,333.28045,222.22325,211.20725,209.19165,305.28555
GlcCer_AS(d16:1/22:3)+HCO2,810.57365,764.56825,602.51535,584.50485,570.48915,554.49425,536.48365,392.31755,390.30195,270.24445,374.30645,252.23385,356.29585,349.27535,348.26755,240.23385,235.20725,331.26485,222.22325,211.20725,209.19165,303.26985
GlcCer_AS(d16:1/22:4)+HCO2,808.55805,762.55255,600.49975,582.48915,568.47355,552.47855,534.46805,390.30195,388.28625,270.24445,372.29085,252.23385,354.28025,347.25975,346.25195,240.23385,235.20725,329.24915,222.22325,211.20725,209.19165,301.25425
GlcCer_AS(d16:1/23:0)+HCO2,830.63625,784.63075,622.57805,604.56735,590.55175,574.55685,556.54625,412.38015,410.36455,270.24445,394.36905,252.23385,376.35845,369.33795,368.33015,240.23385,235.20725,351.32745,222.22325,211.20725,209.19165,323.33245
GlcCer_AS(d16:1/23:1)+HCO2,828.62065,782.61515,620.56235,602.55175,588.53615,572.54115,554.53065,410.36455,408.34885,270.24445,392.35345,252.23385,374.34285,367.32235,366.31455,240.23385,235.20725,349.31175,222.22325,211.20725,209.19165,321.31685
GlcCer_AS(d16:1/23:2)+HCO2,826.60495,780.59945,618.54665,600.53615,586.52045,570.52555,552.51495,408.34885,406.33325,270.24445,390.33775,252.23385,372.32725,365.30665,364.29885,240.23385,235.20725,347.29615,222.22325,211.20725,209.19165,319.30115
GlcCer_AS(d16:1/23:3)+HCO2,824.58935,778.58385,616.53105,598.52045,584.50485,568.50985,550.49935,406.33325,404.31755,270.24445,388.32215,252.23385,370.31155,363.29105,362.28325,240.23385,235.20725,345.28045,222.22325,211.20725,209.19165,317.28555
GlcCer_AS(d16:1/23:4)+HCO2,822.57365,776.56825,614.51535,596.50485,582.48915,566.49425,548.48365,404.31755,402.30195,270.24445,386.30645,252.23385,368.29585,361.27535,360.26755,240.23385,235.20725,343.26485,222.22325,211.20725,209.19165,315.26985
GlcCer_AS(d16:1/24:0)+HCO2,844.65195,798.64645,636.59365,618.58305,604.56735,588.57255,570.56185,426.39585,424.38015,270.24445,408.38475,252.23385,390.37415,383.35365,382.34575,240.23385,235.20725,365.34305,222.22325,211.20725,209.19165,337.34815
GlcCer_AS(d16:1/24:1)+HCO2,842.63625,796.63075,634.57805,616.56735,602.55175,586.55685,568.54625,424.38015,422.36455,270.24445,406.36905,252.23385,388.35845,381.33795,380.33015,240.23385,235.20725,363.32745,222.22325,211.20725,209.19165,335.33245
GlcCer_AS(d16:1/24:2)+HCO2,840.62065,794.61515,632.56235,614.55175,600.53615,584.54115,566.53065,422.36455,420.34885,270.24445,404.35345,252.23385,386.34285,379.32235,378.31455,240.23385,235.20725,361.31175,222.22325,211.20725,209.19165,333.31685
GlcCer_AS(d16:1/24:3)+HCO2,838.60495,792.59945,630.54665,612.53615,598.52045,582.52555,564.51495,420.34885,418.33325,270.24445,402.33775,252.23385,384.32725,377.30665,376.29885,240.23385,235.20725,359.29615,222.22325,211.20725,209.19165,331.30115
GlcCer_AS(d16:1/24:4)+HCO2,836.58935,790.58385,628.53105,610.52045,596.50485,580.50985,562.49935,418.33325,416.31755,270.24445,400.32215,252.23385,382.31155,375.29105,374.28325,240.23385,235.20725,357.28045,222.22325,211.20725,209.19165,329.28555
GlcCer_AS(d16:1/25:0)+HCO2,858.66765,812.66215,650.60925,632.59865,618.58305,602.58815,584.57755,440.41145,438.39585,270.24445,422.40035,252.23385,404.38985,397.36925,396.36145,240.23385,235.20725,379.35875,222.22325,211.20725,209.19165,351.36385
GlcCer_AS(d16:1/25:1)+HCO2,856.65195,810.64645,648.59365,630.58305,616.56735,600.57255,582.56185,438.39585,436.38015,270.24445,420.38475,252.23385,402.37415,395.35365,394.34575,240.23385,235.20725,377.34305,222.22325,211.20725,209.19165,349.34815
GlcCer_AS(d16:1/25:2)+HCO2,854.63625,808.63075,646.57805,628.56735,614.55175,598.55685,580.54625,436.38015,434.36455,270.24445,418.36905,252.23385,400.35845,393.33795,392.33015,240.23385,235.20725,375.32745,222.22325,211.20725,209.19165,347.33245
