Cer_NDS,[M+HCO2]-,[M-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[Sph-H]-,[FA+NCCO-3H]-,[FA+NCC-3H]-,[FA+N-H]-,[Sph-NCCO-3H]-,[FA-3H]-
Cer_NDS(d16:0/30:2)+HCO2,748.68245,702.67705,670.65075,654.65585,272.26005,488.44735,472.45235,446.43725,211.20725,429.43455
Cer_NDS(d16:0/30:3)+HCO2,746.66685,700.66135,668.63515,652.64015,272.26005,486.43165,470.43675,444.42165,211.20725,427.41885
Cer_NDS(d16:0/30:4)+HCO2,744.65115,698.64565,666.61945,650.62455,272.26005,484.41605,468.42115,442.40595,211.20725,425.40325
Cer_NDS(d16:0/31:0)+HCO2,766.72935,720.72395,688.69765,672.70285,272.26005,506.49425,490.49935,464.48425,211.20725,447.48155
Cer_NDS(d16:0/31:1)+HCO2,764.71375,718.70825,686.68205,670.68715,272.26005,504.47865,488.48375,462.46855,211.20725,445.46585
Cer_NDS(d16:0/31:2)+HCO2,762.69815,716.69265,684.66635,668.67155,272.26005,502.46295,486.46805,460.45295,211.20725,443.45015
Cer_NDS(d16:0/31:3)+HCO2,760.68245,714.67705,682.65075,666.65585,272.26005,500.44735,484.45235,458.43725,211.20725,441.43455
Cer_NDS(d16:0/31:4)+HCO2,758.66685,712.66135,680.63515,664.64015,272.26005,498.43165,482.43675,456.42165,211.20725,439.41885
Cer_NDS(d16:0/32:0)+HCO2,780.74505,734.73955,702.71335,686.71845,272.26005,520.50995,504.51495,478.49985,211.20725,461.49715
Cer_NDS(d16:0/32:1)+HCO2,778.72935,732.72395,700.69765,684.70285,272.26005,518.49425,502.49935,476.48425,211.20725,459.48155
Cer_NDS(d16:0/32:2)+HCO2,776.71375,730.70825,698.68205,682.68715,272.26005,516.47865,500.48375,474.46855,211.20725,457.46585
Cer_NDS(d16:0/32:3)+HCO2,774.69815,728.69265,696.66635,680.67155,272.26005,514.46295,498.46805,472.45295,211.20725,455.45015
Cer_NDS(d16:0/32:4)+HCO2,772.68245,726.67705,694.65075,678.65585,272.26005,512.44735,496.45235,470.43725,211.20725,453.43455
Cer_NDS(d16:0/33:0)+HCO2,794.76065,748.75525,716.72905,700.73405,272.26005,534.52555,518.53065,492.51555,211.20725,475.51275
Cer_NDS(d16:0/33:1)+HCO2,792.74505,746.73955,714.71335,698.71845,272.26005,532.50995,516.51505,490.49985,211.20725,473.49715
Cer_NDS(d16:0/33:2)+HCO2,790.72935,744.72395,712.69765,696.70285,272.26005,530.49425,514.49935,488.48425,211.20725,471.48155
Cer_NDS(d16:0/33:3)+HCO2,788.71375,742.70825,710.68205,694.68715,272.26005,528.47865,512.48375,486.46855,211.20725,469.46585
Cer_NDS(d16:0/33:4)+HCO2,786.69815,740.69265,708.66635,692.67155,272.26005,526.46295,510.46805,484.45295,211.20725,467.45015
Cer_NDS(d16:0/34:0)+HCO2,808.77635,762.77085,730.74465,714.74975,272.26005,548.54115,532.54635,506.53115,211.20725,489.52845
Cer_NDS(d16:0/34:1)+HCO2,806.76065,760.75525,728.72905,712.73405,272.26005,546.52555,530.53065,504.51555,211.20725,487.51275
Cer_NDS(d16:0/34:2)+HCO2,804.74505,758.73955,726.71335,710.71845,272.26005,544.50995,528.51505,502.49985,211.20725,485.49715
Cer_NDS(d16:0/34:3)+HCO2,802.72935,756.72395,724.69765,708.70285,272.26005,542.49425,526.49935,500.48425,211.20725,483.48155
Cer_NDS(d16:0/34:4)+HCO2,800.71375,754.70825,722.68205,706.68715,272.26005,540.47865,524.48375,498.46855,211.20725,481.46585
Cer_NDS(d16:0/35:0)+HCO2,822.79195,776.78645,744.76035,728.76535,272.26005,562.55685,546.56195,520.54685,211.20725,503.54405
Cer_NDS(d16:0/35:1)+HCO2,820.77635,774.77085,742.74465,726.74975,272.26005,560.54115,544.54635,518.53115,211.20725,501.52845
Cer_NDS(d16:0/35:2)+HCO2,818.76065,772.75525,740.72905,724.73405,272.26005,558.52555,542.53065,516.51555,211.20725,499.51275
Cer_NDS(d16:0/35:3)+HCO2,816.74505,770.73955,738.71335,722.71845,272.26005,556.50995,540.51505,514.49985,211.20725,497.49715
Cer_NDS(d16:0/35:4)+HCO2,814.72935,768.72395,736.69765,720.70285,272.26005,554.49425,538.49935,512.48425,211.20725,495.48155
Cer_NDS(d16:0/36:0)+HCO2,836.80765,790.80215,758.77595,742.78105,272.26005,576.57255,560.57755,534.56255,211.20725,517.55975
Cer_NDS(d16:0/36:1)+HCO2,834.79195,788.78645,756.76035,740.76535,272.26005,574.55685,558.56195,532.54685,211.20725,515.54415
Cer_NDS(d16:0/36:2)+HCO2,832.77635,786.77085,754.74465,738.74975,272.26005,572.54115,556.54635,530.53115,211.20725,513.52845
Cer_NDS(d16:0/36:3)+HCO2,830.76065,784.75525,752.72905,736.73405,272.26005,570.52555,554.53065,528.51555,211.20725,511.51275
Cer_NDS(d16:0/36:4)+HCO2,828.74505,782.73955,750.71335,734.71845,272.26005,568.50995,552.51505,526.49985,211.20725,509.49715
Cer_NDS(d17:0/14:0)+HCO2,542.47905,496.47355,464.44725,448.45235,286.27565,268.22825,252.23335,226.21815,225.22295,209.21545
Cer_NDS(d17:0/14:1)+HCO2,540.46335,494.45785,462.43165,446.43675,286.27565,266.21255,250.21765,224.20255,225.22295,207.19975
Cer_NDS(d17:0/14:2)+HCO2,538.44765,492.44225,460.41595,444.42105,286.27565,264.19695,248.20195,222.18685,225.22295,205.18415
Cer_NDS(d17:0/14:3)+HCO2,536.43205,490.42655,458.40035,442.40545,286.27565,262.18125,246.18635,220.17125,225.22295,203.16855
Cer_NDS(d17:0/15:0)+HCO2,556.49465,510.48915,478.46295,462.46805,286.27565,282.24385,266.24895,240.23385,225.22295,223.23105
Cer_NDS(d17:0/15:1)+HCO2,554.47905,508.47355,476.44725,460.45235,286.27565,280.22825,264.23335,238.21815,225.22295,221.21545
Cer_NDS(d17:0/15:2)+HCO2,552.46335,506.45785,474.43165,458.43675,286.27565,278.21255,262.21765,236.20255,225.22295,219.19975
Cer_NDS(d17:0/15:3)+HCO2,550.44765,504.44225,472.41595,456.42105,286.27565,276.19695,260.20195,234.18685,225.22295,217.18415
Cer_NDS(d17:0/16:0)+HCO2,570.51035,524.50485,492.47865,476.48375,286.27565,296.25955,280.26455,254.24945,225.22295,237.24675
Cer_NDS(d17:0/16:1)+HCO2,568.49465,522.48915,490.46295,474.46805,286.27565,294.24385,278.24895,252.23385,225.22295,235.23105
Cer_NDS(d17:0/16:2)+HCO2,566.47905,520.47355,488.44725,472.45235,286.27565,292.22825,276.23335,250.21815,225.22295,233.21545
Cer_NDS(d17:0/16:3)+HCO2,564.46335,518.45785,486.43165,470.43675,286.27565,290.21255,274.21765,248.20255,225.22295,231.19975
Cer_NDS(d17:0/16:4)+HCO2,562.44765,516.44225,484.41595,468.42105,286.27565,288.19695,272.20195,246.18685,225.22295,229.18415
