Cer_AS,[M-H]-,[M-O-H]-,[M-CO-3H]-,[M-CO-O-H]-,[Sph-3H]-,[Sph-O-3H]-,[FA+O-H]-,[FA+N-H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer_AS(d16:1/32:1)-H,746.70315,728.69265,714.67695,698.68205,268.22875,252.23385,493.46315,492.47915,240.23385,475.45265,211.20725,209.19165,447.45775
Cer_AS(d16:1/32:2)-H,744.68755,726.67695,712.66135,696.66635,268.22875,252.23385,491.44755,490.46355,240.23385,473.43695,211.20725,209.19165,445.44205
Cer_AS(d16:1/32:3)-H,742.67185,724.66135,710.64565,694.65075,268.22875,252.23385,489.43185,488.44785,240.23385,471.42125,211.20725,209.19165,443.42635
Cer_AS(d16:1/32:4)-H,740.65625,722.64565,708.63005,692.63505,268.22875,252.23385,487.41625,486.43225,240.23385,469.40565,211.20725,209.19165,441.41075
Cer_AS(d16:1/33:0)-H,762.73445,744.72395,730.70825,714.71335,268.22875,252.23385,509.49445,508.51045,240.23385,491.48395,211.20725,209.19165,463.48895
Cer_AS(d16:1/33:1)-H,760.71885,742.70825,728.69265,712.69765,268.22875,252.23385,507.47885,506.49485,240.23385,489.46825,211.20725,209.19165,461.47335
Cer_AS(d16:1/33:2)-H,758.70315,740.69265,726.67695,710.68205,268.22875,252.23385,505.46315,504.47915,240.23385,487.45265,211.20725,209.19165,459.45775
Cer_AS(d16:1/33:3)-H,756.68755,738.67695,724.66135,708.66635,268.22875,252.23385,503.44755,502.46355,240.23385,485.43695,211.20725,209.19165,457.44205
Cer_AS(d16:1/33:4)-H,754.67185,736.66135,722.64565,706.65075,268.22875,252.23385,501.43185,500.44785,240.23385,483.42125,211.20725,209.19165,455.42635
Cer_AS(d16:1/34:0)-H,776.75015,758.73955,744.72395,728.72905,268.22875,252.23385,523.51015,522.52615,240.23385,505.49955,211.20725,209.19165,477.50465
Cer_AS(d16:1/34:1)-H,774.73445,756.72395,742.70825,726.71335,268.22875,252.23385,521.49455,520.51045,240.23385,503.48395,211.20725,209.19165,475.48895
Cer_AS(d16:1/34:2)-H,772.71885,754.70825,740.69265,724.69765,268.22875,252.23385,519.47885,518.49485,240.23385,501.46825,211.20725,209.19165,473.47335
Cer_AS(d16:1/34:3)-H,770.70315,752.69265,738.67695,722.68205,268.22875,252.23385,517.46315,516.47915,240.23385,499.45265,211.20725,209.19165,471.45775
Cer_AS(d16:1/34:4)-H,768.68755,750.67695,736.66135,720.66635,268.22875,252.23385,515.44755,514.46355,240.23385,497.43695,211.20725,209.19165,469.44205
Cer_AS(d16:1/35:0)-H,790.76585,772.75525,758.73955,742.74465,268.22875,252.23385,537.52575,536.54175,240.23385,519.51515,211.20725,209.19165,491.52025
Cer_AS(d16:1/35:1)-H,788.75015,770.73955,756.72395,740.72905,268.22875,252.23385,535.51015,534.52615,240.23385,517.49955,211.20725,209.19165,489.50465
Cer_AS(d16:1/35:2)-H,786.73445,768.72395,754.70825,738.71335,268.22875,252.23385,533.49455,532.51045,240.23385,515.48385,211.20725,209.19165,487.48895
Cer_AS(d16:1/35:3)-H,784.71885,766.70825,752.69265,736.69765,268.22875,252.23385,531.47885,530.49485,240.23385,513.46825,211.20725,209.19165,485.47335
Cer_AS(d16:1/35:4)-H,782.70315,764.69265,750.67695,734.68205,268.22875,252.23385,529.46315,528.47915,240.23385,511.45265,211.20725,209.19165,483.45775
Cer_AS(d16:1/36:0)-H,804.78145,786.77085,772.75525,756.76035,268.22875,252.23385,551.54145,550.55745,240.23385,533.53085,211.20725,209.19165,505.53595
Cer_AS(d16:1/36:1)-H,802.76585,784.75525,770.73955,754.74465,268.22875,252.23385,549.52575,548.54175,240.23385,531.51515,211.20725,209.19165,503.52025
Cer_AS(d16:1/36:2)-H,800.75015,782.73955,768.72395,752.72905,268.22875,252.23385,547.51015,546.52615,240.23385,529.49955,211.20725,209.19165,501.50465
Cer_AS(d16:1/36:3)-H,798.73445,780.72395,766.70825,750.71335,268.22875,252.23385,545.49455,544.51045,240.23385,527.48385,211.20725,209.19165,499.48895
Cer_AS(d16:1/36:4)-H,796.71885,778.70825,764.69265,748.69765,268.22875,252.23385,543.47885,542.49485,240.23385,525.46825,211.20725,209.19165,497.47335
Cer_AS(d17:1/14:0)-H,510.45275,492.44225,478.42655,462.43165,282.24445,266.24945,243.19715,242.21315,254.24945,225.18655,225.22295,223.20725,197.19165
Cer_AS(d17:1/14:1)-H,508.43715,490.42655,476.41095,460.41595,282.24445,266.24945,241.18145,240.19745,254.24945,223.17095,225.22295,223.20725,195.17595
Cer_AS(d17:1/14:2)-H,506.42145,488.41095,474.39525,458.40035,282.24445,266.24945,239.16585,238.18185,254.24945,221.15525,225.22295,223.20725,193.16035
Cer_AS(d17:1/14:3)-H,504.40585,486.39525,472.37965,456.38475,282.24445,266.24945,237.15015,236.16615,254.24945,219.13965,225.22295,223.20725,191.14465
Cer_AS(d17:1/15:0)-H,524.46845,506.45785,492.44225,476.44725,282.24445,266.24945,257.21275,256.22875,254.24945,239.20225,225.22295,223.20725,211.20725
Cer_AS(d17:1/15:1)-H,522.45285,504.44225,490.42655,474.43165,282.24445,266.24945,255.19715,254.21315,254.24945,237.18655,225.22295,223.20725,209.19165
Cer_AS(d17:1/15:2)-H,520.43715,502.42655,488.41095,472.41595,282.24445,266.24945,253.18145,252.19745,254.24945,235.17095,225.22295,223.20725,207.17595
