Plasmenyl-PC,[M+C2H3O2]-,NL_CH3&C2H3O2,NL_Choline&C2H3O2,NL_T2Ketene&CH3&C2H3O2,NL_T2RCOOH&CH3&C2H3O2,NL_T2RCOOH_Choline_C2H3O2,GlyceroPC_NLCH3&H2O,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmenyl-PC(P-18:0/10:0)+C2H3O2,720.5185,646.48172,575.40822,492.34595,474.33539,403.2619,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/12:0)+C2H3O2,748.5498,674.51302,603.43952,492.34595,474.33539,403.2619,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/13:0)+C2H3O2,762.5655,688.52872,617.45522,492.34595,474.33539,403.2619,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/14:0)+C2H3O2,776.5811,702.54432,631.47082,492.34595,474.33539,403.2619,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/14:1)+C2H3O2,774.5655,700.52872,629.45522,492.34595,474.33539,403.2619,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/15:0)+C2H3O2,790.5968,716.56002,645.48652,492.34595,474.33539,403.2619,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/15:1)+C2H3O2,788.5811,714.54432,643.47082,492.34595,474.33539,403.2619,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/16:0)+C2H3O2,804.6124,730.57562,659.50212,492.34595,474.33539,403.2619,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/16:1)+C2H3O2,802.5968,728.56002,657.48652,492.34595,474.33539,403.2619,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/17:0)+C2H3O2,818.6281,744.59132,673.51782,492.34595,474.33539,403.2619,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/17:1)+C2H3O2,816.6124,742.57562,671.50212,492.34595,474.33539,403.2619,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/17:2)+C2H3O2,814.5968,740.56002,669.48652,492.34595,474.33539,403.2619,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:0)+C2H3O2,832.6437,758.60692,687.53342,492.34595,474.33539,403.2619,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
