GlcCer_NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
GlcCer_NS(d16:1/36:4)+H,944.79196,782.73916,764.72856,746.71806,254.2478,236.2373,528.51408,224.2373
GlcCer_NS(d17:1/14:0)+H,658.52574,496.47294,478.46234,460.45184,268.26346,250.25296,228.2322,238.25296
GlcCer_NS(d17:1/14:1)+H,656.51008,494.45728,476.44668,458.43618,268.26346,250.25296,226.21654,238.25296
GlcCer_NS(d17:1/14:2)+H,654.49442,492.44162,474.43102,456.42052,268.26346,250.25296,224.20088,238.25296
GlcCer_NS(d17:1/14:3)+H,652.47876,490.42596,472.41536,454.40486,268.26346,250.25296,222.18522,238.25296
GlcCer_NS(d17:1/15:0)+H,672.5414,510.4886,492.478,474.4675,268.26346,250.25296,242.24786,238.25296
GlcCer_NS(d17:1/15:1)+H,670.52574,508.47294,490.46234,472.45184,268.26346,250.25296,240.2322,238.25296
GlcCer_NS(d17:1/15:2)+H,668.51008,506.45728,488.44668,470.43618,268.26346,250.25296,238.21654,238.25296
GlcCer_NS(d17:1/15:3)+H,666.49442,504.44162,486.43102,468.42052,268.26346,250.25296,236.20088,238.25296
GlcCer_NS(d17:1/16:0)+H,686.55706,524.50426,506.49366,488.48316,268.26346,250.25296,256.26352,238.25296
GlcCer_NS(d17:1/16:1)+H,684.5414,522.4886,504.478,486.4675,268.26346,250.25296,254.24786,238.25296
GlcCer_NS(d17:1/16:2)+H,682.52574,520.47294,502.46234,484.45184,268.26346,250.25296,252.2322,238.25296
GlcCer_NS(d17:1/16:3)+H,680.51008,518.45728,500.44668,482.43618,268.26346,250.25296,250.21654,238.25296
GlcCer_NS(d17:1/16:4)+H,678.49442,516.44162,498.43102,480.42052,268.26346,250.25296,248.20088,238.25296
GlcCer_NS(d17:1/17:0)+H,700.57272,538.51992,520.50932,502.49882,268.26346,250.25296,270.27918,238.25296
GlcCer_NS(d17:1/17:1)+H,698.55706,536.50426,518.49366,500.48316,268.26346,250.25296,268.26352,238.25296
GlcCer_NS(d17:1/17:2)+H,696.5414,534.4886,516.478,498.4675,268.26346,250.25296,266.24786,238.25296
GlcCer_NS(d17:1/17:3)+H,694.52574,532.47294,514.46234,496.45184,268.26346,250.25296,264.2322,238.25296
GlcCer_NS(d17:1/18:0)+H,714.58838,552.53558,534.52498,516.51448,268.26346,250.25296,284.29484,238.25296
GlcCer_NS(d17:1/18:1)+H,712.57272,550.51992,532.50932,514.49882,268.26346,250.25296,282.27918,238.25296
GlcCer_NS(d17:1/18:2)+H,710.55706,548.50426,530.49366,512.48316,268.26346,250.25296,280.26352,238.25296
GlcCer_NS(d17:1/18:3)+H,708.5414,546.4886,528.478,510.4675,268.26346,250.25296,278.24786,238.25296
