Cer_ADS,[M-H]-,[M-O-H]-,[M-CO-H]-,[M-CO-O-H]-,[Sph-H]-,[Sph+C=O-3H]-,[Sph-O-H]-,[Sph+C=O-O-3H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer_ADS(d17:0/21:1)-H,608.56235,590.55175,576.53615,560.54115,286.27565,364.32215,268.26515,346.31155,254.24945,321.28045,225.22295,293.28555
Cer_ADS(d17:0/21:2)-H,606.54665,588.53615,574.52045,558.52555,286.27565,362.30645,268.26515,344.29585,254.24945,319.26485,225.22295,291.26985
Cer_ADS(d17:0/21:3)-H,604.53105,586.52045,572.50485,556.50985,286.27565,360.29085,268.26515,342.28025,254.24945,317.24915,225.22295,289.25425
Cer_ADS(d17:0/21:4)-H,602.51535,584.50485,570.48915,554.49425,286.27565,358.27515,268.26515,340.26455,254.24945,315.23355,225.22295,287.23855
Cer_ADS(d17:0/22:0)-H,624.59365,606.58305,592.56745,576.57255,286.27565,380.35345,268.26515,362.34285,254.24945,337.31175,225.22295,309.31685
Cer_ADS(d17:0/22:1)-H,622.57805,604.56745,590.55175,574.55685,286.27565,378.33775,268.26515,360.32725,254.24945,335.29615,225.22295,307.30115
Cer_ADS(d17:0/22:2)-H,620.56235,602.55175,588.53615,572.54115,286.27565,376.32215,268.26515,358.31155,254.24945,333.28045,225.22295,305.28555
Cer_ADS(d17:0/22:3)-H,618.54665,600.53615,586.52045,570.52555,286.27565,374.30645,268.26515,356.29585,254.24945,331.26485,225.22295,303.26985
Cer_ADS(d17:0/22:4)-H,616.53105,598.52045,584.50485,568.50985,286.27565,372.29085,268.26515,354.28025,254.24945,329.24915,225.22295,301.25425
Cer_ADS(d17:0/23:0)-H,638.60935,620.59865,606.58305,590.58815,286.27565,394.36905,268.26515,376.35845,254.24945,351.32745,225.22295,323.33245
Cer_ADS(d17:0/23:1)-H,636.59365,618.58305,604.56745,588.57255,286.27565,392.35345,268.26515,374.34285,254.24945,349.31175,225.22295,321.31685
Cer_ADS(d17:0/23:2)-H,634.57805,616.56745,602.55175,586.55685,286.27565,390.33775,268.26515,372.32725,254.24945,347.29615,225.22295,319.30115
Cer_ADS(d17:0/23:3)-H,632.56235,614.55175,600.53615,584.54115,286.27565,388.32215,268.26515,370.31155,254.24945,345.28045,225.22295,317.28555
Cer_ADS(d17:0/23:4)-H,630.54665,612.53615,598.52045,582.52555,286.27565,386.30645,268.26515,368.29585,254.24945,343.26485,225.22295,315.26985
Cer_ADS(d17:0/24:0)-H,652.62495,634.61435,620.59865,604.60385,286.27565,408.38475,268.26515,390.37415,254.24945,365.34305,225.22295,337.34815
Cer_ADS(d17:0/24:1)-H,650.60935,632.59865,618.58305,602.58815,286.27565,406.36905,268.26515,388.35845,254.24945,363.32745,225.22295,335.33245
