PS,[M+H]+,NL_head,T1RCOO+58,T2RCOO+58,T1_RCO+,T2_RCO+
PS(13:0_22:0)+H,778.55936,593.55041,397.36766,271.22686,197.19005,323.33085
PS(13:0_22:1)+H,776.54376,591.53481,395.35206,271.22686,197.19005,321.31525
PS(13:0_22:2)+H,774.52806,589.51911,393.33636,271.22686,197.19005,319.29955
PS(13:0_22:3)+H,772.51246,587.50351,391.32076,271.22686,197.19005,317.28395
PS(13:0_22:4)+H,770.49676,585.48781,389.30506,271.22686,197.19005,315.26825
PS(13:0_22:5)+H,768.48116,583.47221,387.28946,271.22686,197.19005,313.25265
PS(13:0_22:6)+H,766.46546,581.45651,385.27376,271.22686,197.19005,311.23695
PS(13:0_23:0)+H,792.57506,607.56611,411.38336,271.22686,197.19005,337.34655
PS(13:0_24:0)+H,806.59066,621.58171,425.39896,271.22686,197.19005,351.36215
PS(13:0_24:1)+H,804.57506,619.56611,423.38336,271.22686,197.19005,349.34655
PS(13:0_25:0)+H,820.60636,635.59741,439.41466,271.22686,197.19005,365.37785
PS(13:0_26:0)+H,834.62196,649.61301,453.43026,271.22686,197.19005,379.39345
PS(14:0_14:0)+H,680.44976,495.44081,285.24246,285.24246,211.20565,211.20565
PS(14:0_14:1)+H,678.43416,493.42521,283.22686,285.24246,211.20565,209.19005
PS(14:0_15:0)+H,694.46546,509.45651,299.25816,285.24246,211.20565,225.22135
PS(14:0_15:1)+H,692.44976,507.44081,297.24246,285.24246,211.20565,223.20565
PS(14:0_16:0)+H,708.48106,523.47211,313.27376,285.24246,211.20565,239.23695
PS(14:0_16:1)+H,706.46546,521.45651,311.25816,285.24246,211.20565,237.22135
PS(14:0_17:0)+H,722.49676,537.48781,327.28946,285.24246,211.20565,253.25265
PS(14:0_17:1)+H,720.48106,535.47211,325.27376,285.24246,211.20565,251.23695
PS(14:0_17:2)+H,718.46546,533.45651,323.25816,285.24246,211.20565,249.22135
PS(14:0_18:0)+H,736.51236,551.50341,341.30506,285.24246,211.20565,267.26825
PS(14:0_18:1)+H,734.49676,549.48781,339.28946,285.24246,211.20565,265.25265
PS(14:0_18:2)+H,732.48106,547.47211,337.27376,285.24246,211.20565,263.23695
PS(14:0_18:3)+H,730.46546,545.45651,335.25816,285.24246,211.20565,261.22135
PS(14:0_18:4)+H,728.44976,543.44081,333.24246,285.24246,211.20565,259.20565
PS(14:0_19:0)+H,750.52806,565.51911,355.32076,285.24246,211.20565,281.28395
PS(14:0_20:0)+H,764.54366,579.53471,369.33636,285.24246,211.20565,295.29955
PS(14:0_20:1)+H,762.52806,577.51911,367.32076,285.24246,211.20565,293.28395
PS(14:0_20:2)+H,760.51236,575.50341,365.30506,285.24246,211.20565,291.26825
PS(14:0_20:3)+H,758.49676,573.48781,363.28946,285.24246,211.20565,289.25265
PS(14:0_20:4)+H,756.48106,571.47211,361.27376,285.24246,211.20565,287.23695
PS(14:0_20:5)+H,754.46546,569.45651,359.25816,285.24246,211.20565,285.22135
PS(14:0_21:0)+H,778.55936,593.55041,383.35206,285.24246,211.20565,309.31525
PS(14:0_22:0)+H,792.57496,607.56601,397.36766,285.24246,211.20565,323.33085
PS(14:0_22:1)+H,790.55936,605.55041,395.35206,285.24246,211.20565,321.31525
PS(14:0_22:2)+H,788.54366,603.53471,393.33636,285.24246,211.20565,319.29955
PS(14:0_22:3)+H,786.52806,601.51911,391.32076,285.24246,211.20565,317.28395
PS(14:0_22:4)+H,784.51236,599.50341,389.30506,285.24246,211.20565,315.26825
PS(14:0_22:5)+H,782.49676,597.48781,387.28946,285.24246,211.20565,313.25265
PS(14:0_22:6)+H,780.48106,595.47211,385.27376,285.24246,211.20565,311.23695
PS(14:0_23:0)+H,806.59066,621.58171,411.38336,285.24246,211.20565,337.34655
PS(14:0_24:0)+H,820.60626,635.59731,425.39896,285.24246,211.20565,351.36215
PS(14:0_24:1)+H,818.59066,633.58171,423.38336,285.24246,211.20565,349.34655
PS(14:0_25:0)+H,834.62196,649.61301,439.41466,285.24246,211.20565,365.37785
PS(14:0_26:0)+H,848.63756,663.62861,453.43026,285.24246,211.20565,379.39345
PS(14:1_14:1)+H,676.41856,491.40961,283.22686,283.22686,209.19005,209.19005
PS(14:1_15:0)+H,692.44986,507.44091,299.25816,283.22686,209.19005,225.22135
PS(14:1_15:1)+H,690.43416,505.42521,297.24246,283.22686,209.19005,223.20565
PS(14:1_16:0)+H,706.46546,521.45651,313.27376,283.22686,209.19005,239.23695
PS(14:1_16:1)+H,704.44986,519.44091,311.25816,283.22686,209.19005,237.22135
PS(14:1_17:0)+H,720.48116,535.47221,327.28946,283.22686,209.19005,253.25265
PS(14:1_17:1)+H,718.46546,533.45651,325.27376,283.22686,209.19005,251.23695
PS(14:1_17:2)+H,716.44986,531.44091,323.25816,283.22686,209.19005,249.22135
PS(14:1_18:0)+H,734.49676,549.48781,341.30506,283.22686,209.19005,267.26825
PS(14:1_18:1)+H,732.48116,547.47221,339.28946,283.22686,209.19005,265.25265
